ID,SKU,Name,Type,Action,Reason,New Parent SKU
14622,hmh01219,pH Perfect Sensi Grow part A (1 gal),simple,DELETE,Consolidated into 'pH Perfect Sensi Grow part A' as variant,HMH-PH-PERFECT-SENSI-GROW-PAR-EE8D
14623,hmh01220,pH Perfect Sensi Grow part A (2.5 gal),simple,DELETE,Consolidated into 'pH Perfect Sensi Grow part A' as variant,HMH-PH-PERFECT-SENSI-GROW-PAR-EE8D
14624,hmh01221,pH Perfect Sensi Grow part B (1 lt),simple,DELETE,Consolidated into 'pH Perfect Sensi Grow part B' as variant,HMH-PH-PERFECT-SENSI-GROW-PAR-7B35
14625,hmh01222,pH Perfect Sensi Grow part B (1 gal),simple,DELETE,Consolidated into 'pH Perfect Sensi Grow part B' as variant,HMH-PH-PERFECT-SENSI-GROW-PAR-7B35
14626,hmh01223,pH Perfect Sensi Grow part B (2.5 gal),simple,DELETE,Consolidated into 'pH Perfect Sensi Grow part B' as variant,HMH-PH-PERFECT-SENSI-GROW-PAR-7B35
14905,hmh01439,SunBlaster 25 watt green Visual lamp-standard socket,simple,DELETE,Consolidated into 'SunBlaster' as variant,HMH-SUNBLASTER-2C0E
15254,hmh01704,Sunblaster 125W CF 2500k,simple,DELETE,Consolidated into 'SunBlaster' as variant,HMH-SUNBLASTER-2C0E
15255,hmh01705,Sunblaster 200W CF 6400k,simple,DELETE,Consolidated into 'SunBlaster' as variant,HMH-SUNBLASTER-2C0E
69772,2575,Noise Reduction Clamp 4,simple,DELETE,Consolidated into 'Noise Reduction Clamp' as variant,HMH-NOISE-REDUCTION-CLAMP-7E6C
69776,2576,Noise Reduction Clamp 6,simple,DELETE,Consolidated into 'Noise Reduction Clamp' as variant,HMH-NOISE-REDUCTION-CLAMP-7E6C
69777,2577,Noise Reduction Clamp 8,simple,DELETE,Consolidated into 'Noise Reduction Clamp' as variant,HMH-NOISE-REDUCTION-CLAMP-7E6C
70122,1144,Pre-Filter PRO 100,simple,DELETE,Consolidated into 'Pre-Filter PRO' as variant,HMH-PRE-FILTER-PRO-CFA6
70123,1145,Pre-Filter PRO 125,simple,DELETE,Consolidated into 'Pre-Filter PRO' as variant,HMH-PRE-FILTER-PRO-CFA6
70124,1146,Pre-Filter PRO 150,simple,DELETE,Consolidated into 'Pre-Filter PRO' as variant,HMH-PRE-FILTER-PRO-CFA6
70146,1137,PRO Filter 100,simple,DELETE,Consolidated into 'PRO Filter' as variant,HMH-PRO-FILTER-BACC
70147,1138,PRO Filter 125,simple,DELETE,Consolidated into 'PRO Filter' as variant,HMH-PRO-FILTER-BACC
70148,1139,PRO Filter 150,simple,DELETE,Consolidated into 'PRO Filter' as variant,HMH-PRO-FILTER-BACC
13328,hmh00162,BioThrive Grow 2.5,simple,DELETE,Consolidated into 'BioThrive Grow' as variant,HMH-BIOTHRIVE-GROW-7D72
13951,hmh00672,BioThrive Grow 6,simple,DELETE,Consolidated into 'BioThrive Grow' as variant,HMH-BIOTHRIVE-GROW-7D72
13335,hmh00168,Hard Water Flora Micro 2.5,simple,DELETE,Consolidated into 'Hard Water Flora Micro' as variant,HMH-HARD-WATER-FLORA-MICRO-B6FF
13336,hmh00169,Hard Water Flora Micro 6,simple,DELETE,Consolidated into 'Hard Water Flora Micro' as variant,HMH-HARD-WATER-FLORA-MICRO-B6FF
13572,hmh00356,Humboldt Big Up Powder 5 lbs,simple,DELETE,Consolidated into 'Humboldt Big Up Powder' as variant,HMH-HUMBOLDT-BIG-UP-POWDER-CB25
