sku,name,type,dec31_image,feb12_image,local_file,status
hmh00370,Humboldt Master B 2.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_master_b.jpg,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_master_a.jpg,,IMAGE_CHANGED
hmh00371,Humboldt Master B 5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_master_b.jpg,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_master_a.jpg,,IMAGE_CHANGED
hmh00372,Humboldt DueceDuece 1,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/duece_duece.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2b78ae0a__humboldt_bigup.jpg,,IMAGE_CHANGED
hmh00375,Humboldt Oneness 1,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/oneness_small.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2b78ae0a__humboldt_bigup.jpg,,IMAGE_CHANGED
hmh00377,Humboldt Oneness 2.5,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/oneness_small.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2b78ae0a__humboldt_bigup.jpg,,IMAGE_CHANGED
hmh00378,Humboldt Oneness 5,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/oneness_small.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2b78ae0a__humboldt_bigup.jpg,,IMAGE_CHANGED
hmh00379,Humboldt Oneness 15,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/oneness_small.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2b78ae0a__humboldt_bigup.jpg,,IMAGE_CHANGED
hmh00386,Equilibrium Natural 1,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/equilibrium-natural.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/036a9ac4__equilibrium-natural.jpg,,IMAGE_CHANGED
hmh00402,Bloom Natural 1,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_bloom_natural.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/14de793d__humboldt_bloom_natural.jpg,,IMAGE_CHANGED
hmh00404,Bloom Natural 2.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_bloom_natural.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/14de793d__humboldt_bloom_natural.jpg,,IMAGE_CHANGED
hmh00405,Bloom Natural 5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_bloom_natural.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/14de793d__humboldt_bloom_natural.jpg,,IMAGE_CHANGED
hmh00406,Bloom Natural 15,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_bloom_natural.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/14de793d__humboldt_bloom_natural.jpg,,IMAGE_CHANGED
hmh00416,Mayan Microzyme 4,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_mayan.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/24ec72b3__humboldt_mayan.jpg,,IMAGE_CHANGED
hmh00417,Mayan Microzyme 8,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_mayan.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/24ec72b3__humboldt_mayan.jpg,,IMAGE_CHANGED
hmh00418,Mayan Microzyme 16,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_mayan.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/24ec72b3__humboldt_mayan.jpg,,IMAGE_CHANGED
hmh00419,Mayan Microzyme1,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_mayan.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/24ec72b3__humboldt_mayan.jpg,,IMAGE_CHANGED
hmh00426,Myco Madness Soluble 5 lbs,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_myco_soluble.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2a0ac017__humboldt_myco_soluble.jpg,,IMAGE_CHANGED
hmh00427,Myco Maximum Granular 8,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_myco_granular.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/7a6d884c__humboldt_myco_granular.jpg,,IMAGE_CHANGED
hmh00429,Myco Maximum Granular 5 lbs,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_myco_granular.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/7a6d884c__humboldt_myco_granular.jpg,,IMAGE_CHANGED
hmh00438,Humboldt Roots,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_roots.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2f046ca5__humboldt_roots.jpg,,IMAGE_CHANGED
hmh00442,Humboldt Sticky Foliar Feed 16,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_sticky.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/fe096596__humboldt_sticky.jpg,,IMAGE_CHANGED
hmh00443,Humboldt Sticky Foliar Feed 1,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_sticky.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/fe096596__humboldt_sticky.jpg,,IMAGE_CHANGED
hmh00459,CalCarb Calcium Carbonate Foliar Spray 6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/xtreme_calcarb.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/4a586b88__xtreme_calcarb.jpg,,IMAGE_CHANGED
hmh00460,CalCarb Calcium Carbonate Foliar Spray 12,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/xtreme_calcarb.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/4a586b88__xtreme_calcarb.jpg,,IMAGE_CHANGED
hmh00468,B'cuzZ Roxx Rooting Blocks,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bcuzz_blocks.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/95dd6201__bcuzz_blocks.jpg,,IMAGE_CHANGED
hmh00474,B'cuzZ Roxx Bimatrix Growing Slabs,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bcuzz_blocks.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/95dd6201__bcuzz_blocks.jpg,,IMAGE_CHANGED
hmh00475,B'cuzZ Roxx Bimatrix Growing Slab 36 x 6 x 3,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bcuzz_blocks.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/95dd6201__bcuzz_blocks.jpg,,IMAGE_CHANGED
hmh00491,4 ft laser Drilled Sprayline,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/GH98004.jpg,"https://hmoonhydro.com/wp-content/uploads/2019/08/GH98004.jpg, https://hmoonhydro.com/wp-content/uploads/2019/08/GH98004.jpg",,IMAGE_CHANGED
hmh00504,WaterFarm Growing chamber - 2,simple,https://hmoonhydro.com/wp-content/uploads/2025/04/OIP-1.jpgwaterfarm-inner-1.jpg,"https://hmoonhydro.com/wp-content/uploads/2025/04/OIP-1.jpgwaterfarm-inner-1.jpg, https://hmoonhydro.com/wp-content/uploads/2025/04/OIP-1.jpgwaterfarm-inner-1.jpg",,IMAGE_CHANGED
hmh00507,Texas Controller 16 units,simple,https://hmoonhydro.com/wp-content/uploads/2025/04/GH4610_1.jpgtexas-controler.jpg,"https://hmoonhydro.com/wp-content/uploads/2025/04/GH4610_1.jpgtexas-controler.jpg, https://hmoonhydro.com/wp-content/uploads/2025/04/GH4610_1.jpgtexas-controler.jpg",,IMAGE_CHANGED
