SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1675,,,,,,,,,,,,0752289790928,SKIP_MISSING_IN_SHOPIFY
1847,,,,,,,,,,,,0840470002209,SKIP_MISSING_IN_SHOPIFY
1937,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1736,,,,,,,,,,,,0639125626507,SKIP_MISSING_IN_SHOPIFY
1759,,,,,,,,,,,,0870883007041,SKIP_MISSING_IN_SHOPIFY
1821,,,,,,,,,,,,0718122519323,SKIP_MISSING_IN_SHOPIFY
1920,,,,,,,,,,,,0624493112028,SKIP_MISSING_IN_SHOPIFY
1938,,,,,,,,,,,,0691111106546,SKIP_MISSING_IN_SHOPIFY
1760,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1822,,,,,,,,,,,,0718122519224,SKIP_MISSING_IN_SHOPIFY
1849,,,,,,,,,,,,0689076048460,SKIP_MISSING_IN_SHOPIFY
1939,,,,,,,,,,,,69111111160560,SKIP_MISSING_IN_SHOPIFY
1678,,,,,,,,,,,,0752289790331,SKIP_MISSING_IN_SHOPIFY
1823,,,,,,,,,,,,0692236000048,SKIP_MISSING_IN_SHOPIFY
1940,,,,,,,,,,,,0689076421669,SKIP_MISSING_IN_SHOPIFY
1650,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1679,,,,,,,,,,,,0752289790317,SKIP_MISSING_IN_SHOPIFY
1909,,,,,,,,,,,,0624493123147,SKIP_MISSING_IN_SHOPIFY
1923,,,,,,,,,,,,0870883005719,SKIP_MISSING_IN_SHOPIFY
1941,,,,,,,,,,,,0025033125858,SKIP_MISSING_IN_SHOPIFY
1651,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1680,,,,,,,,,,,,0752289790348,SKIP_MISSING_IN_SHOPIFY
1713,,,,,,,,,,,,6911111106433,SKIP_MISSING_IN_SHOPIFY
1852,,,,,,,,,,,,0845268001822,SKIP_MISSING_IN_SHOPIFY
1924,,,,,,,,,,,,0870883009342,SKIP_MISSING_IN_SHOPIFY
1854,,,,,,,,,,,,0845268002553,SKIP_MISSING_IN_SHOPIFY
1943,,,,,,,,,,,,0845268005240,SKIP_MISSING_IN_SHOPIFY
1958,,,,,,,,,,,,0757900618124,SKIP_MISSING_IN_SHOPIFY
1962,,,,,,,,,,,,0035355002256,SKIP_MISSING_IN_SHOPIFY
1970,,,,,,,,,,,,0034613096297,SKIP_MISSING_IN_SHOPIFY
1926,,,,,,,,,,,,0832522002022,SKIP_MISSING_IN_SHOPIFY
1959,,,,,,,,,,,,0609728631185,SKIP_MISSING_IN_SHOPIFY
1971,,,,,,,,,,,,0035307018809,SKIP_MISSING_IN_SHOPIFY
1996,,,,,,,,,,,,0840470000199,SKIP_MISSING_IN_SHOPIFY
2001,,,,,,,,,,,,0845268002973,SKIP_MISSING_IN_SHOPIFY
2004,,,,,,,,,,,,0757900610104,SKIP_MISSING_IN_SHOPIFY
1927,,,,,,,,,,,,0741559010644,SKIP_MISSING_IN_SHOPIFY
1997,,,,,,,,,,,,0840470000205,SKIP_MISSING_IN_SHOPIFY
2002,,,,,,,,,,,,0845268002713,SKIP_MISSING_IN_SHOPIFY
2005,,,,,,,,,,,,0035355004250,SKIP_MISSING_IN_SHOPIFY
2006,,,,,,,,,,,,0694416533773,SKIP_MISSING_IN_SHOPIFY
1928,,,,,,,,,,,,9781878823250,SKIP_MISSING_IN_SHOPIFY
1998,,,,,,,,,,,,0840470000212,SKIP_MISSING_IN_SHOPIFY
2008,,,,,,,,,,,,0691111604512,SKIP_MISSING_IN_SHOPIFY
1929,,,,,,,,,,,,0741559050039,SKIP_MISSING_IN_SHOPIFY
1947,,,,,,,,,,,,0840470000151,SKIP_MISSING_IN_SHOPIFY
1999,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2009,,,,,,,,,,,,69111111106465,SKIP_MISSING_IN_SHOPIFY
2017,,,,,,,,,,,,9532290010090,SKIP_MISSING_IN_SHOPIFY
1930,,,,,,,,,,,,0845268000634,SKIP_MISSING_IN_SHOPIFY
1977,,,,,,,,,,,,0793094015257,SKIP_MISSING_IN_SHOPIFY
2041,,,,,,,,,,,,0891144000175,SKIP_MISSING_IN_SHOPIFY
1978,,,,,,,,,,,,0793094053341,SKIP_MISSING_IN_SHOPIFY
2042,,,,,,,,,,,,0845268000382,SKIP_MISSING_IN_SHOPIFY
2049,,,,,,,,,,,,0075967907686,SKIP_MISSING_IN_SHOPIFY
2050,,,,,,,,,,,,0626853111153,SKIP_MISSING_IN_SHOPIFY
2051,,,,,,,,,,,,69111141643255,SKIP_MISSING_IN_SHOPIFY
2054,,,,,,,,,,,,0793094017435,SKIP_MISSING_IN_SHOPIFY
2124,,,,,,,,,,,,0847127002315,SKIP_MISSING_IN_SHOPIFY
2129,,,,,,,,,,,,0847127000977,SKIP_MISSING_IN_SHOPIFY
2136,,,,,,,,,,,,0892753002192,SKIP_MISSING_IN_SHOPIFY
2137,,,,,,,,,,,,0624493111342,SKIP_MISSING_IN_SHOPIFY
2025,,,,,,,,,,,,0851856003659,SKIP_MISSING_IN_SHOPIFY
2055,,,,,,,,,,,,0793094017428,SKIP_MISSING_IN_SHOPIFY
2068,,,,,,,,,,,,0727644132323,SKIP_MISSING_IN_SHOPIFY
2070,,,,,,,,,,,,0845268004755,SKIP_MISSING_IN_SHOPIFY
160,,,,,,,,,,,,0755361010051,SKIP_MISSING_IN_SHOPIFY
161,,,,,,,,,,,,0755361010037,SKIP_MISSING_IN_SHOPIFY
162,,,,,,,,,,,,0755361011041,SKIP_MISSING_IN_SHOPIFY
167,,,,,,,,,,,,0043725198003,SKIP_MISSING_IN_SHOPIFY
170,,,,,,,,,,,,0624493141325,SKIP_MISSING_IN_SHOPIFY
60,,,,,,,,,,,,0727644132217,SKIP_MISSING_IN_SHOPIFY
64,,,,,,,,,,,,0793094016216,SKIP_MISSING_IN_SHOPIFY
65,,,,,,,,,,,,0793094016223,SKIP_MISSING_IN_SHOPIFY
67,,,,,,,,,,,,0793094016261,SKIP_MISSING_IN_SHOPIFY
81,,,,,,,,,,,,0626853108825,SKIP_MISSING_IN_SHOPIFY
82,,,,,,,,,,,,0793094015929,SKIP_MISSING_IN_SHOPIFY
83,,,,,,,,,,,,0793094015936,SKIP_MISSING_IN_SHOPIFY
88,,,,,,,,,,,,0793094013154,SKIP_MISSING_IN_SHOPIFY
89,,,,,,,,,,,,0793094013161,SKIP_MISSING_IN_SHOPIFY
136,,,,,,,,,,,,0872187000261,SKIP_MISSING_IN_SHOPIFY
144,,,,,,,,,,,,0705105758374,SKIP_MISSING_IN_SHOPIFY
146,,,,,,,,,,,,0689076957359,SKIP_MISSING_IN_SHOPIFY
147,,,,,,,,,,,,0689076465465,SKIP_MISSING_IN_SHOPIFY
1980,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2056,,,,,,,,,,,,0793094017633,SKIP_MISSING_IN_SHOPIFY
2073,,,,,,,,,,,,0691111061187,SKIP_MISSING_IN_SHOPIFY
2074,,,,,,,,,,,,0692236142038,SKIP_MISSING_IN_SHOPIFY
2076,,,,,,,,,,,,6911164003779,SKIP_MISSING_IN_SHOPIFY
2081,,,,,,,,,,,,0845268004991,SKIP_MISSING_IN_SHOPIFY
352,,,,,,,,,,,,0870883008017,SKIP_MISSING_IN_SHOPIFY
354,,,,,,,,,,,,0075700160043,SKIP_MISSING_IN_SHOPIFY
355,,,,,,,,,,,,0757900160081,SKIP_MISSING_IN_SHOPIFY
356,,,,,,,,,,,,0757900160166,SKIP_MISSING_IN_SHOPIFY
357,,,,,,,,,,,,0757900160326,SKIP_MISSING_IN_SHOPIFY
359,,,,,,,,,,,,0895474002007,SKIP_MISSING_IN_SHOPIFY
362,,,,,,,,,,,,0870883002077,SKIP_MISSING_IN_SHOPIFY
440,,,,,,,,,,,,0793094041157,SKIP_MISSING_IN_SHOPIFY
442,,,,,,,,,,,,0691111177022,SKIP_MISSING_IN_SHOPIFY
364,,,,,,,,,,,,0689001390046,SKIP_MISSING_IN_SHOPIFY
1981,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2045,,,,,,,,,,,,0845268003758,SKIP_MISSING_IN_SHOPIFY
