priority,unitsSold,hasSizeToken,sizeToken,hasLiquidHint,liquidCategory,nonLiquidCategory,blockedByNameTerm,Type,SKU,Name,Brands,Categories
52,0,no,,yes,no,no,no,simple,1299,Ultragrow 4'-8 Tube T5 Fixture,Nickel City Wholesale Garden Supply,grow_lights
53,0,no,,no,no,no,no,simple,3659,UltraGrow 6 lamp T5 /4ft,Nickel City Wholesale Garden Supply,grow_lights
54,0,no,,no,no,yes,no,simple,2667,UltraGrow 240v Mechanical Timer,Nickel City Wholesale Garden Supply,controllers_timers
55,0,no,,no,no,yes,no,simple,2706,UltraGrow 24 Hour Timer 120V,Nickel City Wholesale Garden Supply,controllers_timers
56,0,no,,yes,yes,no,no,simple,hmh01019,Ultra-premium Connoisseur,Advanced Nutrients,nutrients
57,0,no,,no,no,yes,no,simple,1956,Ultimate Plant Cage,NGW,Accessories
58,0,no,,no,no,yes,no,simple,1651,UV Bulb 5000 Replacement,NGW,accessories
59,0,no,,no,no,yes,no,simple,1650,UV Bulb 3000 Replacement,NGW,accessories
60,0,no,,no,no,yes,no,simple,hmh01583,UNO-2 Speed Controled in line blowers,,airflow
61,0,no,,no,no,no,no,simple,1985,UNO Tube & Scoket set,Nickel City Wholesale Garden Supply,Lighting Equipment
62,0,no,,no,no,yes,no,simple,hmh01298,UNO Rope Ratchets,Nickel City Wholesale Garden Supply,accessories
63,0,no,,no,no,no,no,simple,2379,UNO Little Sun Reflector,Nickel City Wholesale Garden Supply,grow_lights
64,0,no,,no,no,no,no,simple,hmh01318,UNO Grow Tents,UNO,grow_tents
65,0,no,,no,no,yes,no,simple,2626,UNO 2 speed fan 440CFM,Nickel City Wholesale Garden Supply,Environment Control
66,0,no,,no,no,yes,no,simple,2623,UNO 2 speed Fan 845cfm,Nickel City Wholesale Garden Supply,Environment Control
67,0,no,,no,no,yes,no,simple,2803,Twist Tie 164ft,Nickel City Wholesale Garden Supply,Accessories
68,0,no,,no,no,yes,no,simple,3566,TurtleTaffy 75 day 20%Sat/80%In,@Flowers-HEMP,Accessories
