base_key,handle_count,category,has_consolidated_handle,sku_match_ratio,suggested_action,handles,sample_product_names,vendors,product_types
biothrive-bloom,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,biothrive-bloom-1-gal|biothrive-bloom-1-qt|biothrive-bloom-2-5-gal|biothrive-bloom-6-gal,BioThrive Bloom 1 gal|BioThrive Bloom 1 qt|BioThrive Bloom 2.5 gal|BioThrive Bloom 6 gal,H Moon Hydro,simple
biothrive-grow,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,biothrive-grow-1-gal|biothrive-grow-1-qt|biothrive-grow-2-5-gal|biothrive-grow-6-gal,BioThrive Grow 1 gal|BioThrive Grow 1 qt|BioThrive Grow 2.5 gal|BioThrive Grow 6 gal,H Moon Hydro,simple
black-white-panda-film-poly,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,100-ft-black-white-panda-film-poly|25-ft-black-white-panda-film-poly|50-ft-black-white-panda-film-poly|black-white-panda-film-poly,100 ft. Black & White Panda Film (poly)|25 ft.Black & White Panda Film (poly)|50 ft. Black & White Panda Film (poly)|Black & White Panda Film (poly),H Moon Hydro,grouped|simple
bud-boom,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bud-boom|bud-boom-130gm|bud-boom-1kg|bud-boom-500gm,Bud Boom|Bud Boom 130gm|Bud Boom 1kg|Bud Boom 500gm,H Moon Hydro,grouped|simple
can-fan-high-output-cfm,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,can-fan-10-high-output-781-cfm|can-fan-12-high-output-971-cfm|can-fan-4-high-output-178-cfm|can-fan-6-high-output-440-cfm,"Can-Fan 10"" high output 781 CFM|Can-Fan 12"" high output 971 CFM|Can-Fan 4"" high output 178 CFM|Can-Fan 6"" high output 440 CFM",H Moon Hydro,simple
can-filter-flange-max,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,14-can-filter-flange-max|16-can-filter-flange-max|18-can-filter-flange-max|20-can-filter-flange-max,"14"" Can Filter Flange Max|16"" Can Filter Flange Max|18"" Can Filter Flange Max|20"" Can Filter Flange Max",H Moon Hydro,simple
decision,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,decision|decision-2-5-gallon|decision-gallon|decision-quart,Decision|Decision 2.5 Gallon|Decision Gallon|Decision Quart,H Moon Hydro,grouped|simple
diamond-silver-white-film,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,100-ft-diamond-silver-white-film|25-ft-diamond-silver-white-film|50-ft-diamond-silver-white-film|diamond-silver-white-film,100 ft. Diamond Silver White Film|25 ft. Diamond Silver White Film|50 ft. Diamond Silver White Film|Diamond Silver White Film,H Moon Hydro,grouped|simple
double-super-b,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,double-super-b-1-liter|double-super-b-10-liter|double-super-b-23-liter|double-super-b-4-liter,Double Super B+ 1 liter|Double Super B+ 10 liter|Double Super B+ 23 liter|Double Super B+ 4 liter,H Moon Hydro,simple
ecoplus-gph,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,ecoplus-185-gph|ecoplus-264-gph|ecoplus-396-gph|ecoplus-633-gph,EcoPlus 185 GPH|EcoPlus 264 GPH|EcoPlus 396 GPH|EcoPlus 633 GPH,H Moon Hydro,simple
equinox,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,equinox|equinox-2-5-gallon|equinox-gallon|equinox-quart,Equinox|Equinox 2.5 Gallon|Equinox Gallon|Equinox Quart,H Moon Hydro,grouped|simple
flange,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,10-flange|12-flange|6-flange|8-flange,"10"" Flange|12"" Flange|6"" Flange|8"" Flange",H Moon Hydro,simple
flora-shield,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,flora-shield|flora-shield-1-gal|flora-shield-1-pt|flora-shield-1-qt,Flora Shield|Flora Shield 1 gal|Flora Shield 1 pt|Flora Shield 1 qt,H Moon Hydro,grouped|simple
florakleen,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,florakleen|florakleen-1-gal|florakleen-2-5-gal|florakleen-6-gal,FloraKleen|FloraKleen 1 gal|FloraKleen 2.5 gal|FloraKleen 6 gal,H Moon Hydro,grouped|simple
floranova-bloom,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floranova-bloom-1-gal|floranova-bloom-1-qt|floranova-bloom-16-oz|floranova-bloom-2-5-gal,FloraNova Bloom 1 gal|FloraNova Bloom 1 qt|FloraNova Bloom 16 oz|FloraNova Bloom 2.5 gal,H Moon Hydro,simple
floranova-grow,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floranova-grow-1-gal|floranova-grow-1-qt|floranova-grow-16-oz|floranova-grow-2-5-gal,FloraNova Grow 1 gal|FloraNova Grow 1 qt|FloraNova Grow 16 oz|FloraNova Grow 2.5 gal,H Moon Hydro,simple
gaia-mania,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,gaia-mania|gaia-mania-2-5-gallon|gaia-mania-gallon|gaia-mania-quart,Gaia Mania|Gaia Mania 2.5 Gallon|Gaia Mania Gallon|Gaia Mania Quart,H Moon Hydro,grouped|simple
hard-water-flora,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,hard-water-flora-micro-1-gal|hard-water-flora-micro-1-qt|hard-water-flora-micro-2-5-gal|hard-water-flora-micro-6-gal,Hard Water Flora Micro 1 gal|Hard Water Flora Micro 1 qt|Hard Water Flora Micro 2.5 gal|Hard Water Flora Micro 6 gal,H Moon Hydro,simple
herculean-harvest,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,herculean-harvest|herculean-harvest-2-5-gallon|herculean-harvest-gallon|herculean-harvest-quart,Herculean Harvest|Herculean Harvest 2.5 Gallon|Herculean Harvest Gallon|Herculean Harvest Quart,H Moon Hydro,grouped|simple
holland-secret,4,create,no,0.00,Create new variant group,holland-secret-micro-10l|holland-secret-micro-1l|holland-secret-micro-23l|holland-secret-micro-4l,Holland Secret Micro 10L|Holland Secret Micro 1L|Holland Secret Micro 23L|Holland Secret Micro 4L,H Moon Hydro,simple
holland-secret-bloom,4,create,no,0.00,Create new variant group,holland-secret-bloom-1-l|holland-secret-bloom-10l|holland-secret-bloom-23l|holland-secret-bloom-4l,Holland Secret Bloom 1 L|Holland Secret Bloom 10L|Holland Secret Bloom 23L|Holland Secret Bloom 4L,H Moon Hydro,simple
holland-secret-grow,4,create,no,0.00,Create new variant group,holland-secret-grow-10l|holland-secret-grow-1l|holland-secret-grow-23l|holland-secret-grow-4l,Holland Secret Grow 10L|Holland Secret Grow 1L|Holland Secret Grow 23L|Holland Secret Grow 4L,H Moon Hydro,simple
hum-bolt,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,hum-bolt|hum-bolt-1-gal|hum-bolt-1-qt|hum-bolt-2-5-gal,Hum-Bolt|Hum-Bolt 1 gal|Hum-Bolt 1 qt|Hum-Bolt 2.5 gal,H Moon Hydro,grouped|simple
humboldt,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-micro-1-qt|humboldt-micro-2-5-gal|humboldt-micro-5-0-1|humboldt-micro-5-gal,Humboldt Micro  2.5 gal|Humboldt Micro 1 qt|Humboldt Micro 5 gal|Humboldt Micro 5-0-1,H Moon Hydro,grouped|simple
humboldt-honey-es,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-honey-es|humboldt-honey-es-1-gal|humboldt-honey-es-1-qt|humboldt-honey-es-5-gal,Humboldt Honey ES|Humboldt Honey ES 1 gal|Humboldt Honey ES 1 qt|Humboldt Honey ES 5 gal,H Moon Hydro,grouped|simple
humboldt-honey-hydro-carbs,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-honey-hydro-carbs|humboldt-honey-hydro-carbs-1-gal|humboldt-honey-hydro-carbs-1-qt|humboldt-honey-hydro-carbs-2-5-gal,Humboldt Honey Hydro Carbs|Humboldt Honey Hydro Carbs 1 gal|Humboldt Honey Hydro Carbs 1 qt|Humboldt Honey Hydro Carbs 2.5 gal,H Moon Hydro,grouped|simple
humboldt-master-a,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,humboldt-master-a-1-gal|humboldt-master-a-1-qt|humboldt-master-a-2-5-gal|humboldt-master-a-5-gal,Humboldt Master A 1 gal|Humboldt Master A 1 qt|Humboldt Master A 2.5 gal|Humboldt Master A 5 gal,H Moon Hydro,simple
humboldt-master-b,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,humboldt-master-b-1-gal|humboldt-master-b-1-qt|humboldt-master-b-2-5-gal|humboldt-master-b-5-gal,Humboldt Master B 1 gal|Humboldt Master B 1 qt|Humboldt Master B 2.5 gal|Humboldt Master B 5 gal,H Moon Hydro,simple
hydro-deuce,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,hydro-deuce|hydro-deuce-1-gal|hydro-deuce-1-qt|hydro-deuce-16-oz,Hydro-Deuce|Hydro-Deuce 1 gal|Hydro-Deuce 1 qt|Hydro-Deuce 16 oz,H Moon Hydro,grouped|simple
hydrodynamics-ionic-grow-premium-plant-nutrient,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,hydrodynamics-ionic-grow-3-1-5-premium-plant-nutrient|hydrodynamics-ionic-grow-3-1-5-premium-plant-nutrient-2-5-gallon|hydrodynamics-ionic-grow-3-1-5-premium-plant-nutrient-gallon|hydrodynamics-ionic-grow-3-1-5-premium-plant-nutrient-qt,HydroDynamics Ionic® Grow 3 - 1 - 5 Premium Plant Nutrient|HydroDynamics Ionic® Grow 3-1-5 Premium Plant Nutrient 2.5 gallon|HydroDynamics Ionic® Grow 3-1-5 Premium Plant Nutrient Gallon|HydroDynamics Ionic® Grow 3-1-5 Premium Plant Nutrient Qt.,H Moon Hydro,grouped|simple
koolbloom,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,koolbloom|koolbloom-16-lb|koolbloom-2-2-lb|koolbloom-4-oz,KoolBloom|KoolBloom 16 lb|KoolBloom 2.2 lb|KoolBloom 4 oz,H Moon Hydro,grouped|simple
lightning-start,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,lightning-start|lightning-start-2-5-gallon|lightning-start-gallon|lightning-start-quart,Lightning Start|Lightning Start 2.5 Gallon|Lightning Start Gallon|Lightning Start Quart,H Moon Hydro,grouped|simple
medusas-magic,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,medusas-magic|medusas-magic-2-5-gallon|medusas-magic-gallon|medusas-magic-quart,Medusa's Magic|Medusa's Magic 2.5 Gallon|Medusa's Magic Gallon|Medusa's Magic Quart,H Moon Hydro,grouped|simple
myco-maximum-granular,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,myco-maximum-granular|myco-maximum-granular-1-lb|myco-maximum-granular-5-lbs|myco-maximum-granular-8-oz,Myco Maximum Granular|Myco Maximum Granular 1 lb|Myco Maximum Granular 5 lbs|Myco Maximum Granular 8 oz,H Moon Hydro,grouped|simple
ph-calibration-solution,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,ph-4-01-calibration-solution-8-oz|ph-4-01-calibration-solution-qt|ph-7-0-calibration-solution-8-oz|ph-7-0-calibration-solution-qt,pH 4.01 Calibration Solution 8 oz.|pH 4.01 Calibration Solution qt.|pH 7.0 Calibration Solution 8 oz.|pH 7.0 Calibration Solution qt.,H Moon Hydro,simple
pulse-start-m-h-for-flowering-growth,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,pulse-start-m-h-1000w-3000k-for-flowering-growth|pulse-start-m-h-600w-3000k-for-flowering-growth|pulse-start-m-h-600w-3000k-for-flowering-growth-2|pulse-start-m-h-600w-3000k-for-flowering-growth-3,"Pulse Start M.H.1000W. 3,000K for Flowering Growth|Pulse Start M.H.600W. 3,000K for Flowering Growth",H Moon Hydro,simple
rsw-thermo-controlled-cfm-rpm,4,archive,no,1.00,Archive legacy single products; already covered in consolidated import,rsw-4ho-thermo-controlled-110v-161-cfm-3294-rpm|rsw-4ho-thermo-controlled-240v-161-cfm-3294-rpm|rsw-6ho-thermo-controlled-110v-413-cfm-3250-rpm|rsw-6ho-thermo-controlled-240v-413-cfm-3250-rpm,RSW 4HO Thermo/Controlled 110V 161 CFM 3294 RPM|RSW 4HO Thermo/Controlled 240V 161 CFM 3294 RPM|RSW 6HO Thermo/Controlled 110V 413 CFM 3250 RPM|RSW 6HO Thermo/Controlled 240V 413 CFM 3250 RPM,H Moon Hydro,simple
ruby-ful,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,ruby-ful|ruby-ful-2-5-gallon|ruby-ful-gallon|ruby-ful-quart,Ruby Ful#$%|Ruby Ful#$% 2.5 Gallon|Ruby Ful#$% Gallon|Ruby Ful#$% Quart,H Moon Hydro,grouped|simple
spring,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,spring|spring-2-5-gallon|spring-gallon|spring-quart,Spring|Spring 2.5 Gallon|Spring Gallon|Spring Quart,H Moon Hydro,grouped|simple
suck-it-up,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,suck-it-up|suck-it-up-1-liter|suck-it-up-4-liter|suck-it-up-500ml,Suck it Up|Suck it Up 1 liter|Suck it Up 4 liter|Suck it Up 500ml,H Moon Hydro,grouped|simple
summer,4,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,summer|summer-2-5-gallon|summer-gallon|summer-quart,Summer|Summer 2.5 Gallon|Summer Gallon|Summer Quart,H Moon Hydro,grouped|simple
agrowlyte-plant-wash,3,create,no,0.00,Create new variant group,agrowlyte-plant-wash-30-gallon|agrowlyte-plant-wash-gallon|agrowlyte-plant-wash-qt,AGrowlyte Plant Wash 30 gallon|AgrowLyte Plant Wash Gallon|AgrowLyte Plant Wash qt.,H Moon Hydro,simple
aphrodites-extraction,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,aphrodites-extraction|aphrodites-extraction-gallon|aphrodites-extraction-quart,Aphrodite's Extraction|Aphrodite's Extraction Gallon|Aphrodite's Extraction Quart,H Moon Hydro,grouped|simple
atami-rootblastic,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,atami-rootblastic|atami-rootblastic-250-ml|atami-rootblastic-80-ml,Atami RootBlastic|Atami RootBlastic 250 ml|Atami RootBlastic 80 ml.,H Moon Hydro,grouped|simple
athenas-aminas,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,athenas-aminas|athenas-aminas-gallon|athenas-aminas-quart,Athena's Aminas|Athena's Aminas Gallon|Athena's Aminas Quart,H Moon Hydro,grouped|simple
b-vitamin,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,b-52-vitamin|b-52-vitamin-1-gal|b-52-vitamin-2-5-gal,B-52 Vitamin|B-52 Vitamin (1 gal)|B-52 Vitamin (2.5 gal),H Moon Hydro,grouped|simple
better-bloom,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,better-bloom-10-kg|better-bloom-12-34-12|better-bloom-2-kg,Better Bloom 10 kg|Better Bloom 12-34-12|Better Bloom 2 kg,H Moon Hydro,grouped|simple
big-bud-bloom-booster,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,big-bud-bloom-booster|big-bud-bloom-booster-1-gal|big-bud-bloom-booster-2-5-gal,Big Bud Bloom Booster|Big Bud Bloom Booster (1 gal)|Big Bud Bloom Booster (2.5 gal),H Moon Hydro,grouped|simple
block-ir-x-roll,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,block-ir-4-x-100-roll|block-ir-4-x-25-roll|block-ir-4-x-50-roll,Block-IR 4' x 100' Roll|Block-IR 4' x 25' Roll|Block-IR 4' x 50' Roll,H Moon Hydro,simple
bloom-khaos,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bloom-khaos|bloom-khaos-gallon|bloom-khaos-quart,Bloom Khaos|Bloom Khaos Gallon|Bloom Khaos Quart,H Moon Hydro,grouped|simple
bud-blood-bloom-stimulator,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bud-blood-bloom-stimulator|bud-blood-bloom-stimulator-300g|bud-blood-bloom-stimulator-40-g,Bud Blood Bloom Stimulator|Bud Blood Bloom Stimulator (300g)|Bud Blood Bloom Stimulator (40 g),H Moon Hydro,grouped|simple
bud-candy,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bud-candy|bud-candy-1-gal|bud-candy-2-5-gal,Bud Candy|Bud Candy (1 gal)|Bud Candy (2.5 gal),H Moon Hydro,grouped|simple
cal-mag-plus,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,cal-mag-plus|cal-mag-plus-gal|cal-mag-plus-qt,Cal-Mag Plus|Cal-Mag Plus Gal.|Cal-Mag Plus Qt.,H Moon Hydro,grouped|simple
calcarb-calcium-carbonate-foliar-spray,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,calcarb-calcium-carbonate-foliar-spray|calcarb-calcium-carbonate-foliar-spray-12-oz|calcarb-calcium-carbonate-foliar-spray-6-oz,CalCarb Calcium Carbonate Foliar Spray|CalCarb Calcium Carbonate Foliar Spray 12 oz|CalCarb Calcium Carbonate Foliar Spray 6 oz,H Moon Hydro,grouped|simple
calnesium-defficiency-correction-supplemnt,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,calnesium-defficiency-correction-supplemnt-6-gal|calnesium-defficiency-correction-supplemnt-gal|calnesium-defficiency-correction-supplemnt-qt,CALNESIUM Defficiency Correction Supplemnt 6 gal|CALNESIUM Defficiency Correction Supplemnt Gal|CALNESIUM Defficiency Correction Supplemnt Qt.,H Moon Hydro,simple
can-fan-standard-output-cfm,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,can-fan-4-standard-output-142-cfm|can-fan-6-standard-output-270-cfm|can-fan-8-standard-output-493-cfm,"Can-Fan 4"" standard output 142 CFM|Can-Fan 6"" standard output 270 CFM|Can-Fan 8"" standard output 493 CFM",H Moon Hydro,simple
can-filter-flange,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,10-can-filter-flange|12-can-filter-flange|6-can-filter-flange,"10"" CAN Filter Flange|12"" CAN Filter Flange|6"" CAN Filter Flange",H Moon Hydro,simple
carbo-blast,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,carbo-blast|carbo-blast-2-5-kg|carbo-blast-300g,Carbo Blast|Carbo Blast 2.5 kg|Carbo Blast 300g,H Moon Hydro,grouped|simple
clearex,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,clearex|clearex-gal|clearex-qt,Clearex|Clearex Gal.|Clearex Qt.,H Moon Hydro,grouped|simple
demeters-destiny,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,demeters-destiny|demeters-destiny-gallon|demeters-destiny-quart,Demeter's Destiny|Demeter's Destiny Gallon|Demeter's Destiny Quart,H Moon Hydro,grouped|simple
down-to-earth-bone-meal,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,down-to-earth-bone-meal-25-lb|down-to-earth-bone-meal-3-15-0|down-to-earth-bone-meal-6-lb,Down To Earth Bone Meal - 25 lb|Down To Earth Bone Meal - 6 lb|Down To Earth Bone Meal 3 - 15 - 0,H Moon Hydro,grouped|simple
down-to-earth-kelp-meal,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,down-to-earth-kelp-meal-1-0-1-2|down-to-earth-kelp-meal-20-lb|down-to-earth-kelp-meal-5-lb,Down To Earth Kelp Meal - 20 lb|Down To Earth Kelp Meal - 5 lb|Down To Earth Kelp Meal 1 - 0.1 - 2,H Moon Hydro,grouped|simple
down-to-earth-vegan-mix,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,down-to-earth-vegan-mix-25-lb|down-to-earth-vegan-mix-3-2-2|down-to-earth-vegan-mix-6-lb,Down To Earth Vegan Mix - 25 lb|Down To Earth Vegan Mix - 6 lb|Down To Earth Vegan Mix 3 - 2 - 2,H Moon Hydro,grouped|simple
dyna-gro-pro-tekt,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,dyna-gro-pro-tekt|dyna-gro-pro-tekt-1gal|dyna-gro-pro-tekt-1qt,Dyna-Gro Pro Tekt|Dyna-Gro Pro Tekt 1gal|Dyna-Gro Pro Tekt 1qt,H Moon Hydro,grouped|simple
flashgro-roll,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,flashgro-100-roll|flashgro-50-roll|flashgro-roll,Flashgro 100' Roll|Flashgro 50' Roll|Flashgro Roll,H Moon Hydro,grouped|simple
floralicious-bloom,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floralicious-bloom-1-gal|floralicious-bloom-1-qt|floralicious-bloom-2-5-gal,Floralicious Bloom 1 gal|Floralicious Bloom 1 qt|Floralicious Bloom 2.5 gal,H Moon Hydro,simple
floralicious-grow,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floralicious-grow-1-gal|floralicious-grow-1-qt|floralicious-grow-2-5-gal,Floralicious Grow 1 gal|Floralicious Grow 1 qt|Floralicious Grow 2.5 gal,H Moon Hydro,simple
floranectar-coconut,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floranectar-coconut-1-gal|floranectar-coconut-1-qt|floranectar-coconut-2-5-gal,FloraNectar Coconut 1 gal|FloraNectar Coconut 1 qt|FloraNectar Coconut 2.5 gal,H Moon Hydro,simple
floranectar-fruitnfusion,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floranectar-fruitnfusion-1-gal|floranectar-fruitnfusion-1-qt|floranectar-fruitnfusion-2-5-gal,FloraNectar FruitnFusion 1 gal|FloraNectar FruitnFusion 1 qt|FloraNectar FruitnFusion 2.5 gal,H Moon Hydro,simple
grommet-of,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,1-1-4-grommet-bag-of-10|1-2-grommet-bag-of-25|1-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)|1"" Grommet (bag of 10)|1/2"" Grommet (bag of 25)",H Moon Hydro,simple
grow-big-liquid-plant-food,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,grow-big-liquid-plant-food-1-gal|grow-big-liquid-plant-food-1-qt|grow-big-liquid-plant-food-6-4-4,Grow Big Liquid Plant Food (1 gal)|Grow Big Liquid Plant Food (1 qt)|Grow Big Liquid Plant Food (6-4-4),H Moon Hydro,grouped|simple
holland-secret-h,3,create,no,0.00,Create new variant group,holland-secret-micro-h-w-10l|holland-secret-micro-h-w-1l|holland-secret-micro-h-w-4l,Holland Secret Micro H.W 10L|Holland Secret Micro H.W 4L|Holland Secret Micro H.W. 1L,H Moon Hydro,simple
humboldt-big-up-powder,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,humboldt-big-up-powder-1-lb|humboldt-big-up-powder-10-lbs|humboldt-big-up-powder-5-lbs,Humboldt Big Up Powder 1 lb|Humboldt Big Up Powder 10 lbs|Humboldt Big Up Powder 5 lbs,H Moon Hydro,simple
humboldt-nutrients-s-i-structural-integrity,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-nutrients-s-i-structural-integrity|humboldt-nutrients-s-i-structural-integrity-gal|humboldt-nutrients-s-i-structural-integrity-qt,Humboldt Nutrients S.I. Structural Integrity|Humboldt Nutrients S.I. Structural Integrity Gal.|Humboldt Nutrients S.I. Structural Integrity qt.,H Moon Hydro,grouped|simple
humboldt-sea-cal,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,humboldt-sea-cal-1-gal|humboldt-sea-cal-1-qt|humboldt-sea-cal-2-5-gal,Humboldt Sea Cal 1 gal|Humboldt Sea Cal 1 qt|Humboldt Sea Cal 2.5 gal,H Moon Hydro,simple
humboldt-sea-mag,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,humboldt-sea-mag-1-gal|humboldt-sea-mag-1-qt|humboldt-sea-mag-2-5-gal,Humboldt Sea Mag 1 gal|Humboldt Sea Mag 1 qt|Humboldt Sea Mag 2.5 gal,H Moon Hydro,simple
humboldt-sticky-foliar-feed,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-sticky-foliar-feed|humboldt-sticky-foliar-feed-1-qt|humboldt-sticky-foliar-feed-16-oz,Humboldt Sticky Foliar Feed|Humboldt Sticky Foliar Feed 1 qt|Humboldt Sticky Foliar Feed 16 oz,H Moon Hydro,grouped|simple
hydroplex,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,hydroplex|hydroplex-gal|hydroplex-qt,Hydroplex|Hydroplex Gal.|Hydroplex Qt.,H Moon Hydro,grouped|simple
hygeias-hydration,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,hygeias-hydration|hygeias-hydration-gallon|hygeias-hydration-quart,Hygeia's Hydration|Hygeia's Hydration Gallon|Hygeia's Hydration Quart,H Moon Hydro,grouped|simple
hygrozyme,3,create,no,0.00,Create new variant group,hygrozyme-1-l|hygrozyme-4-l|hygrozyme-500-ml,HYGROZYME 1 L|HYGROZYME 4 L|HYGROZYME 500 ml,H Moon Hydro,simple
ionic-bloom-premium-plant-nutrient,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,ionic-bloom-3-2-6-premium-plant-nutrient-2-5-gallon|ionic-bloom-3-2-6-premium-plant-nutrient-gallon|ionic-bloom-3-2-6-premium-plant-nutrient-qt,Ionic® Bloom 3-2-6 Premium Plant Nutrient 2.5 Gallon|Ionic® Bloom 3-2-6 Premium Plant Nutrient Gallon|Ionic® Bloom 3-2-6 Premium Plant Nutrient Qt.,H Moon Hydro,simple
ionic-boost-premium-plant-nutrient,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,ionic-pk-boost-0-5-6-premium-plant-nutrient-2-5-gallon|ionic-pk-boost-0-5-6-premium-plant-nutrient-gallon|ionic-pk-boost-0-5-6-premium-plant-nutrient-qt,Ionic® PK Boost 0-5-6 Premium Plant Nutrient 2.5 Gallon|Ionic® PK Boost 0-5-6 Premium Plant Nutrient Gallon|Ionic® PK Boost 0-5-6 Premium Plant Nutrient Qt.,H Moon Hydro,simple
jungle-green,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,jungle-green-10-kg|jungle-green-17-15-17|jungle-green-2-5-kg,Jungle Green 10 kg|Jungle Green 17-15-17|Jungle Green 2.5 kg,H Moon Hydro,grouped|simple
light-switcher,3,create,no,0.00,Create new variant group,120v-120v-4-light-switcher|240v-120v-4-light-switcher|240v-240v-4-light-switcher,120V - 120V 4 Light Switcher|240V - 120v 4 Light Switcher|240V - 240V 4 Light Switcher,H Moon Hydro,simple
liquid-karma,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,liquid-karma|liquid-karma-gal|liquid-karma-qt,Liquid Karma|Liquid Karma Gal.|Liquid Karma Qt.,H Moon Hydro,grouped|simple
mag-drive-pump-gph,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,mag-drive-2-pump-250-gph|mag-drive-3-pump-350-gph|mag-drive-7-pump-700-gph,Mag Drive #2 Pump 250 gph|Mag Drive #3 Pump 350 gph|Mag Drive #7 Pump 700 gph,H Moon Hydro,simple
maxibloom,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,maxibloom-16-lb|maxibloom-2-2-lb|maxibloom-50-lb,MaxiBloom 16 lb|MaxiBloom 2.2 lb|MaxiBloom 50 lb,H Moon Hydro,simple
maxigro,3,archive,no,1.00,Archive legacy single products; already covered in consolidated import,maxigro-16-lb|maxigro-2-2-lb|maxigro-50-lb,MaxiGro 16 lb|MaxiGro 2.2 lb|MaxiGro 50 lb,H Moon Hydro,simple
mega-morpheus,3,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,mega-morpheus|mega-morpheus-gallon|mega-morpheus-quart,Mega Morpheus|Mega Morpheus Gallon|Mega Morpheus Quart,H Moon Hydro,grouped|simple
