Item Number,Item Name,Item Description,Brief Description,Alternate Lookup,Attribute,Size,Average Unit Cost,Regular Price,MSRP,Custom Price 1,Custom Price 2,Custom Price 3,Custom Price 4,UPC,Tax Code,Order Cost,Order By Unit,Sell By Unit,Item Type,Base Unit of Measure,Income Account,Company Reorder Point,COGS Account,Asset Account,Print Tags,Unorderable,Serial Tracking,Eligible for Commission,Department Name,Department Code,Vendor Name,Vendor Code,Manufacturer,Weight,Qty 1,Qty 2,Qty 3,Qty 4,Qty 5,Qty 6,Qty 7,Qty 8,Qty 9,Qty 10,Qty 11,Qty 12,Qty 13,Qty 14,Qty 15,Qty 16,Qty 17,Qty 18,Qty 19,Qty 20,On Order Qty,Reorder Point 1,Reorder Point 2,Reorder Point 3,Reorder Point 4,Reorder Point 5,Reorder Point 6,Reorder Point 7,Reorder Point 8,Reorder Point 9,Reorder Point 10,Reorder Point 11,Reorder Point 12,Reorder Point 13,Reorder Point 14,Reorder Point 15,Reorder Point 16,Reorder Point 17,Reorder Point 18,Reorder Point 19,Reorder Point 20,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Eligible for Rewards,Vendor Name 2,UPC 2,Alternate Lookup 2,Order Cost 2,Vendor Name 3,UPC 3,Alternate Lookup 3,Order Cost 3,Vendor Name 4,UPC 4,Alternate Lookup 4,Order Cost 4,Vendor Name 5,UPC 5,Alternate Lookup 5,Order Cost 5,Unit of Measure 1,# of Base Units for UOM 1,UPC for UOM 1,Alternate Lookup for UOM 1,Regular Price for UOM 1,MSRP for UOM 1,Custom Price 1 for UOM 1,Custom Price 2 for UOM 1,Custom Price 3 for UOM 1,Custom Price 4 for UOM 1,Unit of Measure 2,# of Base Units for UOM 2,UPC for UOM 2,Alternate Lookup for UOM 2,Regular Price for UOM 2,MSRP for UOM 2,Custom Price 1 for UOM 2,Custom Price 2 for UOM 2,Custom Price 3 for UOM 2,Custom Price 4 for UOM 2,Unit of Measure 3,# of Base Units for UOM 3,UPC for UOM 3,Alternate Lookup for UOM 3,Regular Price for UOM 3,MSRP for UOM 3,Custom Price 1 for UOM 3,Custom Price 2 for UOM 3,Custom Price 3 for UOM 3,Custom Price 4 for UOM 3,Sync to Mobile,__qty_total__,__on_order_qty__,__regular_price__
1687,Y-Connector 4x4x4,4x4x4 Y Duct Connector,,,,1 Pc,7,17.88,0,17.88,17.88,17.88,17.88,0691111105458,Tax,7,,,Inventory,,,,,,Yes,No,No,No,Environment Control,ENV,NGW,NGW,,0,5,-9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,8.0,0,17.88
1714,Harvest Moon-All Purpose Qt,Harvest Moon-All Purpose Qt,,,,1 Qt,0,14.98,0,14.98,14.98,14.98,14.98,691111111100224,Tax,0,,,Inventory,,,,,,Yes,No,No,No,Nutrients,NUT,Nickel City Wholesale Garden Supply,NCW,ncwgs,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,16.0,0,14.98
1772,Connoisseur (Part-A) GROW 4L,Base Nutrient (Part-A) GROWAdvenced Nutrients,,,,4 Lt,33.92857,74.29,0,74.29,74.29,74.29,74.29,0845268005059,Tax,47.5,,,Inventory,,,,,,Yes,No,No,No,Nutrients,NUT,Advanced Nutrients,AN,Advanced Nutrients,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,8.0,0,74.29
1826,T5 Tripho Bulbs 8pk(Red),T5 8pk HO BUlbs 2900k Red,,,,1,4.53,12.95,0,12.95,12.95,12.95,12.95,0691111094652,Tax,4.53,,,Inventory,,,,,,Yes,No,No,No,Bulbs,BUL,Nickel City Wholesale Garden Supply,NCW,,0,77,-9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,81.0,0,12.95
1626,Bud Boom 500g 0-40-23,"Bud Boom 500gm 0-40-23
Late Flower Booster",,,,500 g,18.02052,46.99,0,46.99,46.99,46.99,46.99,0691111104543,Tax,17.96,,,Inventory,Single,,,,,Yes,No,No,No,Nutrients,NUT,Nickel City Wholesale Garden Supply,NCW,FHD,0,5,-7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,8.0,0,46.99
1653,Single Micro-Pore,Oxygen Diffuser,,,,1 Pc,0,20.48,0,20.5,20.48,20.48,20.48,6911111146320,Tax,13.5,,,Inventory,,,,,,Yes,No,No,No,Accessories,ACC,NGW,NGW,Deep Water,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,7.0,0,20.48
1688,Y-Connector 6x4x4,6x4x4 Y Duct Connector,,,,1 Pc,0,17.88,0,17.88,17.88,17.88,17.88,0069111063328,Tax,9.6,,,Inventory,,,,,,Yes,No,No,No,Environment Control,ENV,NGW,NGW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,0,17.88
1715,Powder Soil Moist,Soil Moisturizer,,,,1 Tub,0,12.66,0,12.66,12.66,12.66,12.66,6911111111054,Tax,0,,,Inventory,,,,,,Yes,No,No,No,Nutrients,NUT,Nickel City Wholesale Garden Supply,NCW,ncwgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,0,12.66
1765,Voodoo 10L,Root Builder,,,,10 Lt,0,777.76,0,777.76,777.76,777.76,777.76,0845268001945,Tax,0,,,Inventory,,,,,,Yes,No,No,No,Nutrients,NUT,NGW,NGW,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1.0,0,777.76
1773,Connoisseur (Part-B)Grow 4L,Base Nutrient (Part-B) GrowAdvanced Nutrients,,,,4 Lt,44.86111,74.29,0,74.29,74.29,74.29,74.29,0845268005110,Tax,47.5,,,Inventory,,,,,,Yes,No,No,No,Nutrients,NUT,Advanced Nutrients,AN,Advanced Nutrients,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1.0,0,74.29
