Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score
,spin-pro-wire-replacments,,,,1885,PRO REPLACMENT charcoal 15lb,0.575,4,49.95,,,,0,,0,,0.575,low-score,Ambiguous: Δ=0.105,1141,Pre-Filter PRO 75,0.470,1142,Pre-Filter PRO 50,0.470
,super-bud-feminised-big-bud-x-skunk-photo-5-seed,Super Bud (Feminised) Big Bud x Skunk Photo. 5 Seed,40.00,0,3097,FoxFarm Big Bloom 2.5 Gallon,0.614,0,167.49,,,,0,,0,,0.614,low-score,Ambiguous: Δ=0.032,1675,Fox Farm Big Bloom 5Gal,0.581,3005,FoxFarm Bloom 0 - 0.5 - 0.7 gal,0.576
,super-bud-feminised-big-bud-x-skunk-photo-5-seed,,,,1675,Fox Farm Big Bloom 5Gal,0.616,2,236.00,,,,0,,0,,0.616,low-score,Ambiguous: Δ=0.008,1660,Bud boom qt 0-6-5,0.609,3005,FoxFarm Bloom 0 - 0.5 - 0.7 gal,0.606
hmh00849,snapture-dovetail,Snapture Dovetail,3.79,0,493,SnapStand Dovetail 90 Degree,0.405,20,3.70,,,,0,,0,,0.405,low-score,High stock (~20) - manual confirmation,,,,,,
,skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,Skywalker Auto Skywalker OG x Gelato #41 Auto 5 seed,70.00,0,3257,"G.M.O. Auto ""OG""",0.595,0,50.00,,,,0,,0,,0.595,low-score,Ambiguous: Δ=0.050,3571,GELATO #41 @Flowers 32%,0.545,3535,Gelato #41 Simi FullTerm 11 G.,0.444
,super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed,Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze5 Seed,50.00,0,3202,Hortilux Silver 600 E Ballast,0.345,1,249.00,,,,0,,0,,0.345,low-score,Ambiguous: Δ=0.017,3603,SUPER GREASE CANNASUPER LABS,0.328,3023,"Super Sprout Neop Insert 2""blue",0.327
,super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed,,,,3023,"Super Sprout Neop Insert 2""blue",0.421,89,0.35,,,,0,,0,,0.421,low-score,High stock (~89) - manual confirmation,3647,Super Clean Neem Oil - 8oz,0.415,362,Super Spreader Large,0.401
hmh01439,sunblaster-25-watt-green-visual-lamp-standard-socket,SunBlaster 25 watt green Visual lamp-standard socket,9.88,0,2979,"Sunblaster 18"" lamp",0.533,1,8.95,,,,0,,0,,0.533,low-score,Ambiguous: Δ=0.056,3660,125 watt Sunblaster CFL,0.477,2492,Sunblaster Green 26w,0.414
,super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,Super Bud Auto (Feminised) Super Bud x Ruderalis 5 Seed,40.00,0,2286,Bud Boom 0-6-5,0.568,21,12.98,,,,0,,0,,0.568,low-score,High stock (~21) - manual confirmation,1660,Bud boom qt 0-6-5,0.550,2287,Pt. Bud Boom 16oz. 0-6-5,0.534
,super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,,,,1660,Bud boom qt 0-6-5,0.615,5,15.99,,,,0,,0,,0.615,low-score,Ambiguous: Δ=0.002,2286,Bud Boom 0-6-5,0.613,1978,G.O. Bio Bud 2.5Gal,0.596
