SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1663,gid://shopify/ProductVariant/42665862594634,mondi-mini-greenhouse-humidity-dome-4-with-vents,DRAFT,188,200,12,5.82,,3.45,,0691111064332,0691111064332,READY_TO_UPDATE
1746,,,,,1,,,,,,,0870883002718,SKIP_MISSING_IN_SHOPIFY
1808,,,,,6,,,,,,,69111111054477,SKIP_MISSING_IN_SHOPIFY
1835,,,,,4,,,,,,,0043725054507,SKIP_MISSING_IN_SHOPIFY
1863,,,,,0,,,,,,,6911111461055,SKIP_MISSING_IN_SHOPIFY
1635,gid://shopify/ProductVariant/42665854795850,holland-secret-bloom-23l,ACTIVE,1,1,0,151.95,,75.95,,0718122810000,0718122810000,NO_CHANGE
1697,,,,,1,,,,,,,0870883009564,SKIP_MISSING_IN_SHOPIFY
1724,gid://shopify/ProductVariant/42665867903050,plantmax-750w-hps-high-output-106000-lumens,DRAFT,2,2,0,87.93,,42.0,,6911111166885,6911111166885,NO_CHANGE
1809,,,,,4,,,,,,,0691111114695,SKIP_MISSING_IN_SHOPIFY
1888,,,,,0,,,,,,,6911111110646,SKIP_MISSING_IN_SHOPIFY
1636,,,,,245,,,,,,,69111111111460,SKIP_MISSING_IN_SHOPIFY
1865,gid://shopify/ProductVariant/42665867214922,plantmax-250w-mh-conversion,ACTIVE,0,3,3,39.05,,,,0691111606467,0691111606467,READY_TO_UPDATE
1889,,,,,22,,,,,,,9780615453521,SKIP_MISSING_IN_SHOPIFY
1637,,,,,0,,,,,,,0691111114507,SKIP_MISSING_IN_SHOPIFY
1726,,,,,3,,,,,,,6911111145455,SKIP_MISSING_IN_SHOPIFY
1784,,,,,,,,,,,,0051378072304,SKIP_MISSING_IN_SHOPIFY
1811,,,,,6,,,,,,,0691111056484,SKIP_MISSING_IN_SHOPIFY
1838,gid://shopify/ProductVariant/42665834020938,6-in-backdraft-damper,DRAFT,8,4,-4,19.55,,12.0,,0840470004029,0840470004029,READY_TO_UPDATE
1890,,,,,0,,,,,,,0659627006003,SKIP_MISSING_IN_SHOPIFY
1638,,,,,0,,,,,,,0069111110541,SKIP_MISSING_IN_SHOPIFY
1839,,,,,5,,,,,,,0025033125759,SKIP_MISSING_IN_SHOPIFY
1867,gid://shopify/ProductVariant/42665841360970,big-boy,ACTIVE,1,0,-1,17.60,,11.5,,0081210055448,0081210055448,READY_TO_UPDATE
1883,,,,,2,,,,,,,6391111164164,SKIP_MISSING_IN_SHOPIFY
1751,gid://shopify/ProductVariant/42665856696394,humboldt-big-up-powder-10-lbs,DRAFT,4,2,-2,371.44,,,,0837654478905,0837654478905,READY_TO_UPDATE
1813,,,,,20,,,,,,,0691111077645,SKIP_MISSING_IN_SHOPIFY
1840,,,,,0,,,,,,,0741559010132,SKIP_MISSING_IN_SHOPIFY
1898,gid://shopify/ProductVariant/42665817440330,2-nanotech-reflector-for-sunblaster-t5,ACTIVE,4,0,-4,7.99,,8.95,,0692236090810,0692236090810,READY_TO_UPDATE
1640,,,,,99,,,,,,,0691111106455,SKIP_MISSING_IN_SHOPIFY
1702,,,,,1,,,,,,,6911114522501,SKIP_MISSING_IN_SHOPIFY
1869,,,,,1,,,,,,,0810666009008,SKIP_MISSING_IN_SHOPIFY
1899,,,,,9,,,,,,,0692236090827,SKIP_MISSING_IN_SHOPIFY
1641,,,,,985,,,,,,,6911111054554,SKIP_MISSING_IN_SHOPIFY
1870,,,,,1,,,,,,,0810666009152,SKIP_MISSING_IN_SHOPIFY
1900,gid://shopify/ProductVariant/42665827467338,4-nanotech-reflector-for-sunblaster-t5,ACTIVE,24,20,-4,14.99,,12.25,,0692236090834,0692236090834,READY_TO_UPDATE
1671,,,,,5,,,,,,,0691111064335,SKIP_MISSING_IN_SHOPIFY
1843,gid://shopify/ProductVariant/42665857843274,hydroplex-qt,DRAFT,0,1,1,45.62,,25.0,,0757900260323,0757900260323,READY_TO_UPDATE
1705,,,,,0,,,,,,,0691111106432,SKIP_MISSING_IN_SHOPIFY
1732,,,,,0,,,,,,,0691111105572,SKIP_MISSING_IN_SHOPIFY
1844,,,,,2,,,,,,,0757900261283,SKIP_MISSING_IN_SHOPIFY
1916,gid://shopify/ProductVariant/42665850470474,floraduo-b-6-gal,DRAFT,2,0,-2,146.63,,75.0,,0793094016858,0793094016858,REVIEW_DUPLICATE
1916,gid://shopify/ProductVariant/42665852043338,floraduo-a-6-gal,DRAFT,2,0,-2,146.63,,75.0,,0793094016858,0793094016858,REVIEW_DUPLICATE
