ProductID,Handle,SKU,Existing,Incoming
gid://shopify/Product/8043106730058,diamond-black,hmh00685,DRAFT,ACTIVE
gid://shopify/Product/8043105976394,diamond-nectar,hmh00199,DRAFT,ACTIVE
gid://shopify/Product/8043105779786,diamond-nectar,hmh00201,DRAFT,ACTIVE
gid://shopify/Product/8043107582026,diamond-nectar,hmh00200,DRAFT,ACTIVE
gid://shopify/Product/8043107221578,diamond-nectar,hmh00202,DRAFT,ACTIVE
gid://shopify/Product/8043109613642,floraduo-complete,hmh00203,DRAFT,ACTIVE
gid://shopify/Product/8043111514186,floraduo-complete,hmh00204,DRAFT,ACTIVE
gid://shopify/Product/8043111448650,floraduo-complete,hmh00205,DRAFT,ACTIVE
gid://shopify/Product/8043109646410,floraduo-complete,hmh00206,DRAFT,ACTIVE
gid://shopify/Product/8043111317578,floraduo-complete,hmh00207,DRAFT,ACTIVE
gid://shopify/Product/8043109711946,floraduo-complete,hmh00208,DRAFT,ACTIVE
gid://shopify/Product/8043110957130,floraduo-complete,hmh00209,DRAFT,ACTIVE
gid://shopify/Product/8043111284810,floraduo-complete,hmh00210,DRAFT,ACTIVE
gid://shopify/Product/8043110039626,floraduo-complete,hmh00211,DRAFT,ACTIVE
gid://shopify/Product/8043109810250,floraduo-complete,hmh00212,DRAFT,ACTIVE
gid://shopify/Product/8043111678026,floralicious-series,hmh00213,DRAFT,ACTIVE
gid://shopify/Product/8043111186506,floralicious-series,hmh00214,DRAFT,ACTIVE
gid://shopify/Product/8043111710794,floralicious-series,hmh00215,DRAFT,ACTIVE
gid://shopify/Product/8043111809098,floralicious-series,hmh00216,DRAFT,ACTIVE
gid://shopify/Product/8043111972938,floralicious-series,hmh00217,DRAFT,ACTIVE
gid://shopify/Product/8043111907402,floralicious-series,hmh00218,DRAFT,ACTIVE
gid://shopify/Product/8043112038474,floralicious-plus,hmh00219,DRAFT,ACTIVE
gid://shopify/Product/8043112071242,floralicious-plus,hmh00221,DRAFT,ACTIVE
gid://shopify/Product/8043112497226,floralicious-plus,hmh00220,DRAFT,ACTIVE
gid://shopify/Product/8043111743562,floralicious-plus,hmh00222,DRAFT,ACTIVE
gid://shopify/Product/8043111874634,floranectar,hmh00223,DRAFT,ACTIVE
gid://shopify/Product/8043111776330,floranectar,hmh00224,DRAFT,ACTIVE
gid://shopify/Product/8043112136778,floranectar,hmh00225,DRAFT,ACTIVE
gid://shopify/Product/8043112333386,floranectar,hmh00226,DRAFT,ACTIVE
gid://shopify/Product/8043112104010,floranectar,hmh00227,DRAFT,ACTIVE
gid://shopify/Product/8043111940170,floranectar,hmh01148,DRAFT,ACTIVE
gid://shopify/Product/8043112005706,floranectar,hmh01149,DRAFT,ACTIVE
gid://shopify/Product/8043111841866,floranectar,hmh01150,DRAFT,ACTIVE
gid://shopify/Product/8043112267850,floranectar,hmh01152,DRAFT,ACTIVE
gid://shopify/Product/8043112529994,floranectar,hmh01153,DRAFT,ACTIVE
gid://shopify/Product/8043111055434,flora-shield,hmh00228,DRAFT,ACTIVE
gid://shopify/Product/8043111579722,flora-shield,hmh00230,DRAFT,ACTIVE
gid://shopify/Product/8043109908554,flora-shield,hmh00229,DRAFT,ACTIVE
gid://shopify/Product/8043111120970,florakleen,hmh00232,DRAFT,ACTIVE
gid://shopify/Product/8043111153738,florakleen,hmh00233,DRAFT,ACTIVE
gid://shopify/Product/8043111481418,florakleen,hmh00234,DRAFT,ACTIVE
gid://shopify/Product/8043118461002,koolbloom,hmh00235,DRAFT,ACTIVE
gid://shopify/Product/8043118395466,koolbloom,hmh00236,DRAFT,ACTIVE
gid://shopify/Product/8043117084746,koolbloom,hmh00237,DRAFT,ACTIVE
gid://shopify/Product/8043119935562,liquid-koolbloom-0-10-12,hmh00238,DRAFT,ACTIVE
gid://shopify/Product/8043120033866,liquid-koolbloom-0-10-12,hmh00239,DRAFT,ACTIVE
