metric,value
Total Products,1455
Total Variants,2145
Active Products,777
Draft Products,678
Archived Products,0
% Variants Missing SKU,8.72%
Variants with Blank/Zero Price,0
Archived/Draft with Inventory,537

metric,value
PROBLEM SHORTLIST (first 300),
product_handle / variant_id / sku,status | price | total_inv | target_loc_inv
8-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long | gid://shopify/ProductVariant/42665834119242 | hmh00518,DRAFT | 156.35 | 13 | 13
6-flange | gid://shopify/ProductVariant/42665834250314 | hmh00740,DRAFT | 14.12 | 8 | 8
50-ft-diamond-silver-white-film | gid://shopify/ProductVariant/42665833955402 | hmh01540,DRAFT | 158.36 | 4 | 4
6-in-net-pot-case-of-50 | gid://shopify/ProductVariant/42665834315850 | hmh00843,DRAFT | 5.28 | 198 | 198
8-max-fan-675-cfm | gid://shopify/ProductVariant/42665834348618 | hmh00806,DRAFT | 239.54 | 4 | 4
6-mesh-basket | gid://shopify/ProductVariant/42665834283082 | hmh00836,DRAFT | 4.29 | 24 | 24
ac-infinity-controller-ai-environmental-controller | gid://shopify/ProductVariant/42665834381386 | (blank),ACTIVE | 120.00 | 0 | 0
aphrodites-extraction-quart | gid://shopify/ProductVariant/42665837199434 | hmh01372,DRAFT | 22.58 | 8 | 8
aphrodites-extraction-gallon | gid://shopify/ProductVariant/42665837166666 | hmh01373,DRAFT | 61.58 | 3 | 3
ac-wsa20-b-automatic-water-sprayer-2-liter | gid://shopify/ProductVariant/42665837232202 | (blank),ACTIVE | 29.99 | 0 | 0
athena-cleanse | gid://shopify/ProductVariant/42665837363274 | (blank),ACTIVE | 70.00 | 0 | 0
bcuzz-bio-nrg-growth-c-1l | gid://shopify/ProductVariant/42665837297738 | hmh00261,DRAFT | 16.32 | 6 | 6
athena-pro-core-10-lb | gid://shopify/ProductVariant/42665837494346 | (blank),ACTIVE | 79.00 | 0 | 0
athena-cuts-rooting-gel-compound-14oz | gid://shopify/ProductVariant/42665837527114 | (blank),ACTIVE | 72.00 | 0 | 0
athena-ipm-32-oz | gid://shopify/ProductVariant/42665837428810 | (blank),ACTIVE | 65.00 | 0 | 0
athena-camg-2 | gid://shopify/ProductVariant/42665837625418 | (blank),ACTIVE | 45.00 | 0 | 0
alienz-auto-feminised-alienz-x-watermelon-auto-5-seed | gid://shopify/ProductVariant/42665837592650 | (blank),ACTIVE | 66.00 | 0 | 0
agrowlyte-stop-pm-5-gallon | gid://shopify/ProductVariant/42665837690954 | (blank),ACTIVE | 169.00 | 0 | 0
8-flange | gid://shopify/ProductVariant/42665837756490 | hmh00741,DRAFT | 15.20 | 13 | 13
agrowlyte-5-gallon | gid://shopify/ProductVariant/42665837658186 | (blank),ACTIVE | 179.00 | 0 | 0
athena-grow-b | gid://shopify/ProductVariant/42665837789258 | (blank),ACTIVE | 45.00 | 0 | 0
athena-pk-bloom-booster | gid://shopify/ProductVariant/42665837822026 | (blank),ACTIVE | 45.00 | 0 | 0
athena-bloom-b | gid://shopify/ProductVariant/42665837854794 | (blank),ACTIVE | 45.00 | 0 | 0
bcuzz-coco-nutrition-componet-a-5l | gid://shopify/ProductVariant/42665837920330 | hmh01228,DRAFT | 50.34 | 5 | 5
bcuzz-coco-nutrition-componet-a-1l | gid://shopify/ProductVariant/42665837953098 | hmh01226,DRAFT | 16.10 | 2 | 2
6-net-pot | gid://shopify/ProductVariant/42665838542922 | hmh01322,DRAFT | 2.33 | 55 | 55
athenas-aminas-quart | gid://shopify/ProductVariant/42665838510154 | hmh01375,DRAFT | 14.66 | 13 | 13
athena-stack-32-oz | gid://shopify/ProductVariant/42665838837834 | (blank),ACTIVE | 100.00 | 0 | 0
atami-rootblastic-250-ml | gid://shopify/ProductVariant/42665838673994 | hmh01432,DRAFT | 12.95 | 2 | 2
aquashield-qt | gid://shopify/ProductVariant/42665838805066 | hmh01178,DRAFT | 14.17 | 2 | 2
bcuzz-coco-nutrition-componet-b-5l | gid://shopify/ProductVariant/42665838772298 | hmh01229,DRAFT | 16.10 | 2 | 2
bcuzz-bio-nrg-bloom-c-1l | gid://shopify/ProductVariant/42665838870602 | hmh00257,DRAFT | 16.32 | 31 | 31
bcuzz-growth-stimulator-12oz | gid://shopify/ProductVariant/42665838903370 | hmh00276,DRAFT | 16.32 | 6 | 6
athena-bloom-a-1-gallon-2 | gid://shopify/ProductVariant/42665838936138 | (blank),ACTIVE | 45.00 | 0 | 0
athena-camg-1-gallon | gid://shopify/ProductVariant/42665839034442 | (blank),ACTIVE | 45.00 | 0 | 0
bcuzz-root-stimulator-12-oz | gid://shopify/ProductVariant/42665839001674 | hmh00282,DRAFT | 21.51 | 7 | 7
atami-rootblastic-80-ml | gid://shopify/ProductVariant/42665838706762 | hmh01431,DRAFT | 43.95 | 16 | 16
ac-infinity-self-watering-fabric-pot-base-xl-4-pack | gid://shopify/ProductVariant/42665839198282 | (blank),ACTIVE | 89.99 | 0 | 0
alfa-grease-alfalfa-extract | gid://shopify/ProductVariant/42665838968906 | (blank),ACTIVE | 32.97 | 100 | 100
arjans-strawberry-haze-feminised-swiss-sativa-x-nl5-haze-mist-5-seed | gid://shopify/ProductVariant/42665839231050 | (blank),ACTIVE | 45.00 | 0 | 0
bcuzz-growth-stimulator-1-gal | gid://shopify/ProductVariant/42665839132746 | hmh00278,DRAFT | 146.63 | 3 | 3
athena-pro-bloom-10-lb | gid://shopify/ProductVariant/42665839394890 | (blank),ACTIVE | 79.00 | 0 | 0
agrowlyte-plant-wash-30-gallon | gid://shopify/ProductVariant/42665839263818 | (blank),ACTIVE | 750.00 | 0 | 0
athena-mildew-control-32-oz | gid://shopify/ProductVariant/42665839296586 | (blank),ACTIVE | 79.00 | 0 | 0
amber-label-sativa | gid://shopify/ProductVariant/42665839099978 | (blank),ACTIVE | 75.97 | 100 | 100
athena-pro-grow-10-lb | gid://shopify/ProductVariant/42665839362122 | (blank),ACTIVE | 79.00 | 0 | 0
bcuzz-coco-nutrition-componet-b-1l | gid://shopify/ProductVariant/42665839427658 | hmh01227,DRAFT | 16.10 | 2 | 2
athena-bloom-a-1-gallon | gid://shopify/ProductVariant/42665839460426 | (blank),ACTIVE | 45.00 | 0 | 0
bcuzz-root-stimulator-1-gal | gid://shopify/ProductVariant/42665839820874 | hmh00284,DRAFT | 146.63 | 3 | 3
b-52-vitamin-1-gal | gid://shopify/ProductVariant/42665839984714 | hmh01022,DRAFT | 200.00 | 4 | 4
bcuzz-growth-stimulator-1-qt | gid://shopify/ProductVariant/42665839919178 | hmh00277,DRAFT | 16.32 | 6 | 6
athena-grow-a | gid://shopify/ProductVariant/42665839886410 | (blank),ACTIVE | 45.00 | 0 | 0
athena-cuts-rooting-gel-7-oz | gid://shopify/ProductVariant/42665840050250 | (blank),ACTIVE | 40.50 | 0 | 0
agrowlyte-plant-wash-gallon | gid://shopify/ProductVariant/42665840017482 | (blank),ACTIVE | 52.00 | 0 | 0
agrowlyte-plant-wash-qt | gid://shopify/ProductVariant/42665840115786 | (blank),ACTIVE | 22.49 | 0 | 0
athena-balance-1-gallon | gid://shopify/ProductVariant/42665840181322 | (blank),ACTIVE | 45.00 | 0 | 0
bcuzz-roxx-rooting-blocks-4-x-4-x-4-cs-24-strips-6-per-scrip | gid://shopify/ProductVariant/42665840705610 | (blank),ACTIVE | 150.00 | 0 | 0
badboy-t-5-4-ft-4-lamp-fixture-216-w | gid://shopify/ProductVariant/42665840934986 | hmh00532,DRAFT | 239.00 | 9 | 9
better-bloom-10-kg | gid://shopify/ProductVariant/42665840738378 | hmh00302,DRAFT | 239.49 | 5 | 5
badboy-t-5-4-ft-16-lamp-fixture-864-w | gid://shopify/ProductVariant/42665840836682 | hmh00536,DRAFT | 499.00 | 16 | 16
banana-krumble-feminised-banana-punch-x-og-kush-5-seed | gid://shopify/ProductVariant/42665841033290 | (blank),ACTIVE | 50.00 | 0 | 0
