SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1746,,,,,,,,,,,,0870883002718,SKIP_MISSING_IN_SHOPIFY
1808,,,,,,,,,,,,69111111054477,SKIP_MISSING_IN_SHOPIFY
1835,,,,,,,,,,,,0043725054507,SKIP_MISSING_IN_SHOPIFY
1863,,,,,,,,,,,,6911111461055,SKIP_MISSING_IN_SHOPIFY
1635,gid://shopify/ProductVariant/42665854795850,holland-secret-bloom-23l,ACTIVE,1,,,151.95,,75.95,,0718122810000,0718122810000,NO_CHANGE
1697,,,,,,,,,,,,0870883009564,SKIP_MISSING_IN_SHOPIFY
1724,gid://shopify/ProductVariant/42665867903050,plantmax-750w-hps-high-output-106000-lumens,DRAFT,2,,,87.93,,42.0,,6911111166885,6911111166885,NO_CHANGE
1809,,,,,,,,,,,,0691111114695,SKIP_MISSING_IN_SHOPIFY
1888,,,,,,,,,,,,6911111110646,SKIP_MISSING_IN_SHOPIFY
1636,,,,,,,,,,,,69111111111460,SKIP_MISSING_IN_SHOPIFY
1865,gid://shopify/ProductVariant/42665867214922,plantmax-250w-mh-conversion,ACTIVE,0,,,39.05,,,,0691111606467,0691111606467,NO_CHANGE
1889,,,,,,,,,,,,9780615453521,SKIP_MISSING_IN_SHOPIFY
1637,,,,,,,,,,,,0691111114507,SKIP_MISSING_IN_SHOPIFY
1726,,,,,,,,,,,,6911111145455,SKIP_MISSING_IN_SHOPIFY
1784,,,,,,,,,,,,0051378072304,SKIP_MISSING_IN_SHOPIFY
1811,,,,,,,,,,,,0691111056484,SKIP_MISSING_IN_SHOPIFY
1838,gid://shopify/ProductVariant/42665834020938,6-in-backdraft-damper,DRAFT,8,,,19.55,,12.0,,0840470004029,0840470004029,NO_CHANGE
1890,,,,,,,,,,,,0659627006003,SKIP_MISSING_IN_SHOPIFY
1638,,,,,,,,,,,,0069111110541,SKIP_MISSING_IN_SHOPIFY
1839,,,,,,,,,,,,0025033125759,SKIP_MISSING_IN_SHOPIFY
1867,gid://shopify/ProductVariant/42665841360970,big-boy,ACTIVE,1,,,17.60,,11.5,,0081210055448,0081210055448,NO_CHANGE
1883,,,,,,,,,,,,6391111164164,SKIP_MISSING_IN_SHOPIFY
1751,gid://shopify/ProductVariant/42665856696394,humboldt-big-up-powder-10-lbs,DRAFT,4,,,371.44,,,,0837654478905,0837654478905,NO_CHANGE
1813,,,,,,,,,,,,0691111077645,SKIP_MISSING_IN_SHOPIFY
1840,,,,,,,,,,,,0741559010132,SKIP_MISSING_IN_SHOPIFY
1898,gid://shopify/ProductVariant/42665817440330,2-nanotech-reflector-for-sunblaster-t5,ACTIVE,4,,,7.99,,8.95,,0692236090810,0692236090810,NO_CHANGE
1640,,,,,,,,,,,,0691111106455,SKIP_MISSING_IN_SHOPIFY
1702,,,,,,,,,,,,6911114522501,SKIP_MISSING_IN_SHOPIFY
1869,,,,,,,,,,,,0810666009008,SKIP_MISSING_IN_SHOPIFY
1899,,,,,,,,,,,,0692236090827,SKIP_MISSING_IN_SHOPIFY
1641,,,,,,,,,,,,6911111054554,SKIP_MISSING_IN_SHOPIFY
1870,,,,,,,,,,,,0810666009152,SKIP_MISSING_IN_SHOPIFY
1900,gid://shopify/ProductVariant/42665827467338,4-nanotech-reflector-for-sunblaster-t5,ACTIVE,24,,,14.99,,12.25,,0692236090834,0692236090834,NO_CHANGE
1671,,,,,,,,,,,,0691111064335,SKIP_MISSING_IN_SHOPIFY
1843,gid://shopify/ProductVariant/42665857843274,hydroplex-qt,DRAFT,0,,,45.62,,25.0,,0757900260323,0757900260323,NO_CHANGE
1705,,,,,,,,,,,,0691111106432,SKIP_MISSING_IN_SHOPIFY
1732,,,,,,,,,,,,0691111105572,SKIP_MISSING_IN_SHOPIFY
1844,,,,,,,,,,,,0757900261283,SKIP_MISSING_IN_SHOPIFY
1916,gid://shopify/ProductVariant/42665850470474,floraduo-b-6-gal,DRAFT,2,,,146.63,,75.0,,0793094016858,0793094016858,REVIEW_DUPLICATE
1916,gid://shopify/ProductVariant/42665852043338,floraduo-a-6-gal,DRAFT,2,,,146.63,,75.0,,0793094016858,0793094016858,REVIEW_DUPLICATE
1673,,,,,,,,,,,,0069111146328,SKIP_MISSING_IN_SHOPIFY
1706,,,,,,,,,,,,69111111050421,SKIP_MISSING_IN_SHOPIFY
1733,gid://shopify/ProductVariant/42665849847882,dyna-bloom-quart,DRAFT,1,,,28.99,,11.0,,0080359020324,0080359020324,NO_CHANGE
1917,,,,,,,,,,,,0793094016759,SKIP_MISSING_IN_SHOPIFY
1674,,,,,,,,,,,,0752289790911,SKIP_MISSING_IN_SHOPIFY
1734,gid://shopify/ProductVariant/42665874784330,sunblaster-200w-cf-6400k-2,ACTIVE,4,,,49.95,,43.95,,0692236000758,0692236000758,NO_CHANGE
1846,,,,,,,,,,,,0870883009335,SKIP_MISSING_IN_SHOPIFY
1918,gid://shopify/ProductVariant/42665812918346,10-in-backdraft-damper,DRAFT,2,,,34.76,,21.33,,0840470004043,0840470004043,REVIEW_DUPLICATE
1918,gid://shopify/ProductVariant/42665813049418,12-in-backdraft-damper,DRAFT,2,,,34.76,,21.33,,0840470004043,0840470004043,REVIEW_DUPLICATE
1675,,,,,,,,,,,,0752289790928,SKIP_MISSING_IN_SHOPIFY
1735,gid://shopify/ProductVariant/42665872883786,sunblaster-125w-cf-2500k-2,ACTIVE,2,,,56.71,,35.95,,6911111107764,6911111107764,NO_CHANGE
1847,,,,,,,,,,,,0840470002209,SKIP_MISSING_IN_SHOPIFY
1937,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1736,,,,,,,,,,,,0639125626507,SKIP_MISSING_IN_SHOPIFY
1759,,,,,,,,,,,,0870883007041,SKIP_MISSING_IN_SHOPIFY
1821,,,,,,,,,,,,0718122519323,SKIP_MISSING_IN_SHOPIFY
1920,,,,,,,,,,,,0624493112028,SKIP_MISSING_IN_SHOPIFY
1938,,,,,,,,,,,,0691111106546,SKIP_MISSING_IN_SHOPIFY
1760,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1822,,,,,,,,,,,,0718122519224,SKIP_MISSING_IN_SHOPIFY
1849,,,,,,,,,,,,0689076048460,SKIP_MISSING_IN_SHOPIFY
1939,,,,,,,,,,,,69111111160560,SKIP_MISSING_IN_SHOPIFY
1952,gid://shopify/ProductVariant/42665854566474,gro-pro-12-air-pot,ACTIVE,16,,,8.92,,3.8,,6911110656563,6911110656563,NO_CHANGE
1678,,,,,,,,,,,,0752289790331,SKIP_MISSING_IN_SHOPIFY
1823,,,,,,,,,,,,0692236000048,SKIP_MISSING_IN_SHOPIFY
1940,,,,,,,,,,,,0689076421669,SKIP_MISSING_IN_SHOPIFY
1650,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1679,,,,,,,,,,,,0752289790317,SKIP_MISSING_IN_SHOPIFY
1909,,,,,,,,,,,,0624493123147,SKIP_MISSING_IN_SHOPIFY
1923,,,,,,,,,,,,0870883005719,SKIP_MISSING_IN_SHOPIFY
1941,,,,,,,,,,,,0025033125858,SKIP_MISSING_IN_SHOPIFY
1651,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1680,,,,,,,,,,,,0752289790348,SKIP_MISSING_IN_SHOPIFY
1713,,,,,,,,,,,,6911111106433,SKIP_MISSING_IN_SHOPIFY
1852,,,,,,,,,,,,0845268001822,SKIP_MISSING_IN_SHOPIFY
