product_id,product_handle,product_title,product_status,product_vendor,product_type,variant_id,variant_title,sku,barcode,price,compare_at_price,cost_amount,cost_currency,inv_total_all_locations,inv_at_target_location,inv_detail_json
gid://shopify/Product/8043090378826,10-max-fan-1023-cfm,"10"" Max-Fan, 1023 CFM",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665812787274,Default Title,hmh00807,0840470006697,475.69,433.31,219.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043090411594,10a-120v-w-battery-backup,10A 120V w/battery backup,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665812754506,Default Title,hmh00936,,335.00,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043090444362,10-in-bucket-basket,10 in. Bucket Basket,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665812852810,Default Title,hmh00832,0718122809400,4.98,,2.25,USD,20,20,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":20}]"
gid://shopify/Product/8043090477130,10-x-10-x-10-y-connector,"10"" X 10"" X 10"" ""Y"" Connector",ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665812820042,Default Title,hmh00814,,33.29,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043090509898,10-in-backdraft-damper,10 in. Backdraft Damper,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665812918346,Default Title,hmh00785,0840470004043,34.76,,21.33,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043090542666,10-can-filter-flange,"10"" CAN Filter Flange",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665812885578,Default Title,hmh00726,0628507302030,28.15,,17.28,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043090575434,10-in-x-25-ft-flexible-duct-w-2-clamps-included,10 in. x 25 ft flexible duct w/ 2 clamps included,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665812951114,Default Title,hmh00801,111111111111111111,66.64,,40.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043090608202,10-flange,"10"" Flange",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665812983882,Default Title,hmh00742,0840470001042,16.29,,10.0,USD,6,6,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":6}]"
gid://shopify/Product/8043090640970,12-in-backdraft-damper,12 in. Backdraft Damper,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665813049418,Default Title,hmh00786,0840470004043,34.76,,21.33,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043090673738,10a-240v-w-battery-backup,10A 240V w/battery backup,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665813114954,Default Title,hmh00937,,400.00,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043090706506,10ft-lamp-extention-power-cord,10ft. lamp Extention Power cord,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665813082186,Default Title,hmh01783,,24.00,,20.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043090739274,100-ft-black-white-panda-film-poly,100 ft. Black & White Panda Film (poly),DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665813147722,Default Title,hmh01544,0696859061417,98.24,100.50,49.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043091165258,12-in-x-25-ft-flexible-duct-w-2-clamps-included,12 in. x 25 ft flexible duct w/ 2 clamps included,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814687818,Default Title,hmh00802,111111111111111111,66.64,,40.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043091198026,12-x-18-x-3-storage-bag-ziploc,"12"" x 18"" x 3"" Storage Bag (ziploc)",ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814655050,Default Title,hmh01334,0840470001813,2.06,,0.94,USD,57,57,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":57}]"
