sku,handle,title,brand,vendor,product_type,diameter,length,flow_rate,source,shopify,woo,inventory,needs_images,needs_description,work_queue
hmh00814,10-x-10-x-10-y-connector,"10"" X 10"" X 10"" ""Y"" Connector",H Moon Hydro,H Moon Hydro,fitting,"10""",,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00945,1-2-in-tubing-neutral-250-ft-roll,1/2 in. TUBING NEUTRAL (250 FT. ROLL),H Moon Hydro,H Moon Hydro,tubing,"1/2""",250 ft,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh00837,1-2-fill-drain-fitting-bag-of-10,"1/2"" Fill & Drain Fitting (Bag of 10)",H Moon Hydro,H Moon Hydro,fitting,"1/2""",,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00822,1-2-grommet-bag-of-25,"1/2"" Grommet (bag of 25)",H Moon Hydro,H Moon Hydro,fitting,"1/2""",,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00823,1-grommet-bag-of-10,"1"" Grommet (bag of 10)",H Moon Hydro,H Moon Hydro,fitting,"1""",,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00824,1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",H Moon Hydro,H Moon Hydro,fitting,"1/4""",,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00941,1-4-in-tubing-blue-500-ft-roll,1/4 in. TUBING BLUE (500 FT. ROLL),H Moon Hydro,H Moon Hydro,tubing,"1/4""",500 ft,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh00827,1-2-in-elbow-barbed-bag-of-50,1/2 in. Elbow Barbed (bag of 50),H Moon Hydro,H Moon Hydro,fitting,"1/2""",,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00942,1-4-in-tubing-black-500-ft-roll,1/4 in. TUBING BLACK (500 FT. ROLL),H Moon Hydro,H Moon Hydro,tubing,"1/4""",500 ft,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
1936,contains-3-pots-tubing-fittings-to-expand-th-emonster-ebb-grow-system,"Contains 3 pots, tubing & fittings to expand th eMonster Ebb & grow System",CAP,CAP,tubing,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1686,132-gph-water-pump,132 GPH Water Pump,,,pump_water,,,132 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1719,500-gph-water-pump,500 GPH Water Pump,,,pump_water,,,500 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1806,submersible-pump-fittings-any-size-,Submersible Pump Fittings (any Size),,,pump_submersible,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1808,4-outlet-manifold-plastic,4 Outlet Manifold Plastic,,,manifold,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1809,6-outlet-manifold-plastic,6 Outlet Manifold Plastic,,,manifold,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1784,230-gph-submersible-pump,230 GPH Submersible Pump,Maxi-Jet,Maxi-Jet,pump_submersible,,,230 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1811,10-outlet-manifold-plastic,10 Outlet Manifold Plastic,,,manifold,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1867,big-boy-garden-hose-connection-kit,Big Boy Garden Hose Connection Kit,,,hose,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1641,1-4-black-drip-line-tube,"1/4"" Black Drip line Tube",,,tubing,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1923,600cfm-blower,600cfm Blower,EcoPlus,EcoPlus,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2004,2-x8-drip-tray,2'x8' drip Tray,Botanicare,Botanicare,other,,2 ft,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
1946,float-valve-kit,Float Valve Kit,hydrologic,hydrologic,valve,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2125,5-8-barbed-shut-off-valve,5/8 barbed shut off valve,General Hydroponics,General Hydroponics,fitting,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2129,3-4-inch-tubing-tube-hose,3/4 inch tubing tube hose,gro pro,gro pro,tubing,"3/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
352,1-4-straight-connector,"1/4"" Straight Connector",EcoPlus,EcoPlus,fitting,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2077,800w-1-2-hp-1560-gph,"800w, 1/2 HP 1560 GPH",Ecoplus,Ecoplus,other,,,1560 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2078,1000w-3-4-hp-1620-gph,"1000w, 3/4 HP 1620 GPH",ecoplus,ecoplus,other,,,1620 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2084,cfl-adapter-socket-converter,CFL adapter socket converter,,,fitting,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
339,micro-irrigation-kit,Micro Irrigation Kit,Raindrip,Raindrip,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
482,replacement-float-valve-for-aerflo-36-60,Replacement Float Valve for AERFLO 36 & 60,General Hydroponics,General Hydroponics,valve,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
485,waterfarm-complete-single-unit-pump-module-fittings-farm-kit-,"Waterfarm Complete Single Unit (Pump, Module, fittings & farm Kit)",General Hydroponics,General Hydroponics,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
683,180-cfm-blower,180 CFM Blower,EcoPlus,EcoPlus,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
518,60-100x-lighted-microscope,60-100x Lighted Microscope,EcoPlus,EcoPlus,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
494,vortex-sprayer-for-rainforest-systems,Vortex Sprayer for RainForest Systems,General hydroponics,General hydroponics,emitter,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
686,4-duct-backdraft-damper,"4"" Duct Backdraft Damper",EcoPlus,EcoPlus,other,"4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
687,6-axial-fan,"6"" Axial Fan",EcoPlus,EcoPlus,other,"6""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
822,extension-fitting-threaded-,Extension Fitting (Threaded),R&M,R&M,fitting,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
903,3w-1-outlet-air-pump,3w 1 Outlet Air Pump,EcoPlus,EcoPlus,pump_air,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
823,screen-fitting,Screen Fitting,R&M,R&M,fitting,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
