handle,title,sku,price,vendor,brand,category,tags,source
all-mesh-extraction-bags-3-bag-kit,All Mesh Extraction Bags - 3 Bag Kit,hmh01259,69.95,H Moon Hydro,H Moon Hydro,Extraction Equipment,,shopify
aphrodites-extraction-gallon,Aphrodite's Extraction Gallon,hmh01373,45.00,H Moon Hydro,H Moon Hydro,Extraction Equipment,,shopify
aphrodites-extraction-quart,Aphrodite's Extraction Quart,hmh01372,22.00,H Moon Hydro,H Moon Hydro,Extraction Equipment,,shopify
