key,sku,handle,title,primary_category,categories,brand,brand_invalid_reason
"handle:float-valve-3-8-in-qc-tall-boy","hmh00946","float-valve-3-8-in-qc-tall-boy","FLOAT VALVE 3/8 in. QC -TALL BOY","irrigation","irrigation","H Moon Hydro",""
"handle:ecoplus-396-gph","hmh01263","ecoplus-396-gph","EcoPlus 396 GPH","irrigation","irrigation","EcoPlus",""
"handle:ecoplus-633-gph","hmh01264","ecoplus-633-gph","EcoPlus 633 GPH","irrigation","irrigation","EcoPlus",""
"handle:ecoplus-264-gph","hmh01262","ecoplus-264-gph","EcoPlus 264 GPH","irrigation","irrigation","EcoPlus",""
"handle:ecoplus-small-pump-filter-bag","hmh01309","ecoplus-small-pump-filter-bag","EcoPlus Small Pump filter Bag","irrigation","irrigation","EcoPlus",""
"handle:ecoplus-185-gph","hmh01261","ecoplus-185-gph","EcoPlus 185 GPH","irrigation","irrigation","EcoPlus",""
"handle:dual-diaphragm-air-pump","hmh00571","dual-diaphragm-air-pump","Dual Diaphragm Air Pump","irrigation","irrigation","H Moon Hydro",""
"handle:ecoplus-large-pump-filter-bag","hmh01310","ecoplus-large-pump-filter-bag","EcoPlus Large Pump Filter Bag","irrigation","irrigation","EcoPlus",""
"handle:dual-diaphram-air-pump","hmh00911","dual-diaphram-air-pump","Dual Diaphram Air Pump","irrigation","irrigation","H Moon Hydro",""
"handle:ac-wsa20-b-automatic-water-sprayer-2-liter","","ac-wsa20-b-automatic-water-sprayer-2-liter","AC-WSA20-B Automatic Water Sprayer, 2-Liter","irrigation","irrigation","H Moon Hydro",""
"handle:5-8-shut-off-barbed-valve-bag-of-10","hmh00830","5-8-shut-off-barbed-valve-bag-of-10","5/8"" shut-off barbed valve (bag of 10)","irrigation","irrigation","H Moon Hydro",""
"handle:40-micron-filter-for-tnc-pump","hmh00914","40-micron-filter-for-tnc-pump","40 micron filter for TNC pump","irrigation","irrigation","H Moon Hydro",""
"handle:3-8-in-tubing-blue-500-ft-roll","hmh00944","3-8-in-tubing-blue-500-ft-roll","3/8 in. TUBING BLUE (500 FT. ROLL)","irrigation","irrigation","H Moon Hydro",""
"handle:3-8-in-tubing-white-500-ft-roll","hmh00943","3-8-in-tubing-white-500-ft-roll","3/8 in. TUBING WHITE (500 FT. ROLL)","irrigation","irrigation","H Moon Hydro",""
"handle:10-x-10-x-10-y-connector","hmh00814","10-x-10-x-10-y-connector","10"" X 10"" X 10"" ""Y"" Connector","irrigation","irrigation","H Moon Hydro",""
"handle:1-2-in-tubing-neutral-250-ft-roll","hmh00945","1-2-in-tubing-neutral-250-ft-roll","1/2 in. TUBING NEUTRAL (250 FT. ROLL)","irrigation","irrigation","H Moon Hydro",""
"handle:1-2-fill-drain-fitting-bag-of-10","hmh00837","1-2-fill-drain-fitting-bag-of-10","1/2"" Fill & Drain Fitting (Bag of 10)","irrigation","irrigation","H Moon Hydro",""
"handle:1-2-grommet-bag-of-25","hmh00822","1-2-grommet-bag-of-25","1/2"" Grommet (bag of 25)","irrigation","irrigation","H Moon Hydro",""
"handle:1-grommet-bag-of-10","hmh00823","1-grommet-bag-of-10","1"" Grommet (bag of 10)","irrigation","irrigation","H Moon Hydro",""
"handle:1-1-4-grommet-bag-of-10","hmh00824","1-1-4-grommet-bag-of-10","1 1/4"" Grommet (bag of 10)","irrigation","irrigation","H Moon Hydro",""
"handle:1-4-in-tubing-blue-500-ft-roll","hmh00941","1-4-in-tubing-blue-500-ft-roll","1/4 in. TUBING BLUE (500 FT. ROLL)","irrigation","irrigation","H Moon Hydro",""
"handle:1-2-in-elbow-barbed-bag-of-50","hmh00827","1-2-in-elbow-barbed-bag-of-50","1/2 in. Elbow Barbed (bag of 50)","irrigation","irrigation","H Moon Hydro",""
"handle:1-4-in-tubing-black-500-ft-roll","hmh00942","1-4-in-tubing-black-500-ft-roll","1/4 in. TUBING BLACK (500 FT. ROLL)","irrigation","irrigation","H Moon Hydro",""
"sku:1936","1936","contains-3-pots-tubing-fittings-to-expand-th-emonster-ebb-grow-system","Contains 3 pots, tubing & fittings to expand th eMonster Ebb & grow System","irrigation","irrigation","CAP",""
"sku:1686","1686","132-gph-water-pump","132 GPH Water Pump","irrigation","irrigation","Unknown",""
"sku:1719","1719","500-gph-water-pump","500 GPH Water Pump","irrigation","irrigation","Unknown",""
"sku:1806","1806","submersible-pump-fittings-any-size-","Submersible Pump Fittings (any Size)","irrigation","irrigation","Unknown",""
"sku:1808","1808","4-outlet-manifold-plastic","4 Outlet Manifold Plastic","irrigation","irrigation","Unknown",""
"sku:1809","1809","6-outlet-manifold-plastic","6 Outlet Manifold Plastic","irrigation","irrigation","Unknown",""
"sku:1784","1784","230-gph-submersible-pump","230 GPH Submersible Pump","irrigation","irrigation","Maxi-Jet",""
"sku:1811","1811","10-outlet-manifold-plastic","10 Outlet Manifold Plastic","irrigation","irrigation","Unknown",""
"sku:1867","1867","big-boy-garden-hose-connection-kit","Big Boy Garden Hose Connection Kit","irrigation","irrigation","Unknown",""
"sku:1641","1641","1-4-black-drip-line-tube","1/4"" Black Drip line Tube","irrigation","irrigation","Unknown",""
"sku:1923","1923","600cfm-blower","600cfm Blower","irrigation","irrigation","EcoPlus",""
"sku:2004","2004","2-x8-drip-tray","2'x8' drip Tray","irrigation","irrigation","Botanicare",""
"sku:1946","1946","float-valve-kit","Float Valve Kit","irrigation","irrigation","Hydro-Logic",""
"sku:2125","2125","5-8-barbed-shut-off-valve","5/8 barbed shut off valve","irrigation","irrigation","General Hydroponics",""
"sku:2129","2129","3-4-inch-tubing-tube-hose","3/4 inch tubing tube hose","irrigation","irrigation","gro pro",""
"sku:352","352","1-4-straight-connector","1/4"" Straight Connector","irrigation","irrigation","EcoPlus",""
"sku:2077","2077","800w-1-2-hp-1560-gph","800w, 1/2 HP 1560 GPH","irrigation","irrigation","EcoPlus",""
"sku:2078","2078","1000w-3-4-hp-1620-gph","1000w, 3/4 HP 1620 GPH","irrigation","irrigation","EcoPlus",""
"sku:2084","2084","cfl-adapter-socket-converter","CFL adapter socket converter","irrigation","irrigation","Unknown",""
"sku:339","339","micro-irrigation-kit","Micro Irrigation Kit","irrigation","irrigation","Raindrip",""
"sku:482","482","replacement-float-valve-for-aerflo-36-60","Replacement Float Valve for AERFLO 36 & 60","irrigation","irrigation","General Hydroponics",""
"sku:485","485","waterfarm-complete-single-unit-pump-module-fittings-farm-kit-","Waterfarm Complete Single Unit (Pump, Module, fittings & farm Kit)","irrigation","irrigation","WaterFarm",""
"sku:683","683","180-cfm-blower","180 CFM Blower","irrigation","irrigation","EcoPlus",""
"sku:518","518","60-100x-lighted-microscope","60-100x Lighted Microscope","irrigation","irrigation","EcoPlus",""
"sku:494","494","vortex-sprayer-for-rainforest-systems","Vortex Sprayer for RainForest Systems","irrigation","irrigation","Vortex",""
"sku:686","686","4-duct-backdraft-damper","4"" Duct Backdraft Damper","irrigation","irrigation","EcoPlus",""
"sku:687","687","6-axial-fan","6"" Axial Fan","irrigation","irrigation","EcoPlus",""
"sku:822","822","extension-fitting-threaded-","Extension Fitting (Threaded)","irrigation","irrigation","R&M",""
"sku:903","903","3w-1-outlet-air-pump","3w 1 Outlet Air Pump","irrigation","irrigation","EcoPlus",""
"sku:823","823","screen-fitting","Screen Fitting","irrigation","irrigation","R&M",""
"sku:904","904","6w-2-outlet-air-pump","6w 2 Outlet Air Pump","irrigation","irrigation","EcoPlus",""
"sku:905","905","12w-4-outlet-air-pump","12w 4 Outlet Air Pump","irrigation","irrigation","EcoPlus",""
"sku:825","825","c-a-p-version-1-2-tub-outlet-fitting-shorter-thread-","C.A.P. Version 1/2"" Tub Outlet Fitting (Shorter Thread)","irrigation","irrigation","R&M",""
"sku:906","906","eco-air-8-380-4-gph","Eco Air-8/380.4 gph","irrigation","irrigation","EcoPlus",""
"sku:907","907","4-air-stone","4"" Air Stone","irrigation","irrigation","EcoPlus",""
"sku:827","827","3-4-tub-outlet-fitting-in-let","3/4"" Tub Outlet Fitting-in let","irrigation","irrigation","EcoPlus",""
"sku:829","829","basket-dripper-stake","Basket Dripper Stake","irrigation","irrigation","EcoPlus",""
"sku:910","910","small-round-air-stone","Small round Air Stone","irrigation","irrigation","EcoPlus",""
"sku:912","912","large-round-air-stone","Large Round Air Stone","irrigation","irrigation","EcoPlus",""
"sku:832","832","120-951-gph-water-pump","120-951 GPH Water Pump","irrigation","irrigation","General Hydroponics",""
"sku:344","344","spider-mite-spray-nozzle","Spider Mite Spray Nozzle","irrigation","irrigation","Ultrasol",""
"sku:349","349","100cc-syringe","100cc Syringe","irrigation","irrigation","EcoPlus",""
"sku:835","835","1250-gph-1-4-hp-centrifugal-inline-water-pump","1250 GPH 1/4 HP Centrifugal Inline Water Pump","irrigation","irrigation","General Hydroponics",""
"sku:916","916","633-gph-submersible-pump","633 GPH Submersible Pump","irrigation","irrigation","EcoPlus",""
"sku:782","782","1-4-elbow-connector","1/4"" Elbow Connector","irrigation","irrigation","Unknown",""
"sku:836","836","replacement-filter-for-tnc-pump","Replacement Filter for TNC Pump","irrigation","irrigation","General Hydroponics",""
"sku:917","917","1056-gph-submersible-pump","1056 GPH Submersible Pump","irrigation","irrigation","EcoPlus",""
"sku:783","783","1-4-tee-connector","1/4"" Tee Connector","irrigation","irrigation","Unknown",""
"sku:837","837","2-7-pump-pre-filter","2-7 Pump Pre-Filter","irrigation","irrigation","Pondmaster",""
"sku:784","784","1-2-elbow-connector","1/2"" Elbow Connector","irrigation","irrigation","Unknown",""
"sku:838","838","air-pump-4-1-4-air-line-connections","Air Pump (4) 1/4"" Air Line Connections","irrigation","irrigation","General Hydroponics",""
"sku:785","785","1-2-tee-connector","1/2"" Tee Connector","irrigation","irrigation","Unknown",""
"sku:839","839","250-gph-magnetic-driven-pump","250 GPH Magnetic Driven Pump","irrigation","irrigation","Unknown",""
"sku:920","920","6-5-x9-submersible-pump-filter-bag","6.5""x9"" Submersible Pump Filter Bag","irrigation","irrigation","EcoPlus",""
"sku:786","786","1-2-straight-connector","1/2"" Straight Connector","irrigation","irrigation","Unknown",""
"sku:840","840","350-gph-magnetic-driven-pump","350 GPH Magnetic Driven Pump","irrigation","irrigation","Unknown",""
"sku:921","921","10-x12-5-submersible-pump-filter-bag","10""x12.5"" Submersible Pump Filter Bag","irrigation","irrigation","EcoPlus",""
"sku:787","787","1-2-rubber-grommet","1/2"" Rubber Grommet","irrigation","irrigation","Unknown",""
"sku:841","841","700-gph-magnetic-driven-pump","700 GPH Magnetic Driven Pump","irrigation","irrigation","Unknown",""
"sku:788","788","1-rubber-grommet","1"" Rubber Grommet","irrigation","irrigation","Unknown",""
"sku:789","789","1-1-4-rubber-grommet","1 1/4"" Rubber Grommet","irrigation","irrigation","Unknown",""
"sku:791","791","1-2-blue-tubing-tube-hose","1/2"" Blue Tubing tube hose","irrigation","irrigation","Unknown",""
"sku:845","845","35w-air-pump","35w Air Pump","irrigation","irrigation","EcoPlus",""
"sku:792","792","1-2-black-tubing-tube-hose","1/2"" Black Tubing tube hose","irrigation","irrigation","Unknown",""
"sku:846","846","80w-air-pump","80w Air Pump","irrigation","irrigation","EcoPlus",""
"sku:793","793","1-4-clear-air-line-tube-hose","1/4"" Clear Air line tube hose","irrigation","irrigation","Unknown",""
"sku:1009","1009","merlin-gp-booster-pump-increases-flow","Merlin GP Booster Pump Increases Flow","irrigation","irrigation","Hydro-Logic",""
"sku:821","821","1-2-inline-valve","1/2"" Inline Valve","irrigation","irrigation","R&M",""
"sku:1010","1010","booster-pump-for-stealth-100-200","Booster Pump for Stealth 100/200","irrigation","irrigation","Hydro-Logic",""
"sku:1432","1432","1-5qt-pump-mist-sprayer","1.5Qt Pump Mist sprayer","irrigation","irrigation","Mondi",""
"sku:913","913","185-gph-submersible-pump","185 GPH Submersible Pump","irrigation","irrigation","EcoPlus",""
"sku:914","914","264-gph-submersible-pump","264 GPH Submersible Pump","irrigation","irrigation","EcoPlus",""
"sku:915","915","396-gph-submersible-pump","396 GPH Submersible Pump","irrigation","irrigation","EcoPlus",""
"sku:1257","1257","crossover-valve-for-propane","Crossover Valve for Propane","irrigation","irrigation","Greenair Products",""
"sku:1016","1016","3-8-union-connector","3/8"" Union Connector","irrigation","irrigation","Hydro-Logic",""
"sku:1018","1018","1-4-union-connector-straight-for-stealth-ro-small-boy","1/4"" Union Connector (straight) for Stealth RO & Small Boy","irrigation","irrigation","Stealth RO",""
"sku:1022","1022","3-8-black-polyethelin-tubing","3/8 black polyethelin tubing","irrigation","irrigation","Hydro-Logic",""
"sku:1025","1025","1-4-x-3-16-black-tubing-tube-hose","1/4"" x 3/16"" Black Tubing tube hose","irrigation","irrigation","Unknown",""
"sku:1546","1546","1-2-white-tightener-fill-drain-fitting","1/2 (White Tightener) Fill & Drain Fitting","irrigation","irrigation","Unknown",""
"sku:1547","1547","180-degree-sprayer","180 Degree Sprayer","irrigation","irrigation","Unknown",""
"sku:1200","1200","3-4-straight-connector","3/4"" Straight Connector","irrigation","irrigation","Unknown",""
"sku:1201","1201","3-4-elbow-connector","3/4"" Elbow Connector","irrigation","irrigation","Unknown",""
"sku:1013","1013","float-valve-3-8-connections-for-tall-boy","Float Valve 3/8"" Connections for Tall Boy","irrigation","irrigation","Hydro-Logic",""
"sku:1367","1367","132-gph-submersible-pump","132 GPH Submersible Pump","irrigation","irrigation","EcoPlus",""
"sku:1399","1399","160-cfm-inline-duct-booster-6-","160 CFM Inline Duct Booster 6""","irrigation","irrigation","EcoPlus",""
"sku:1400","1400","370-cfm-inline-duct-booster-8-","370 CFM Inline Duct Booster 8""","irrigation","irrigation","EcoPlus",""
"sku:1401","1401","650-cfm-inline-duct-booster-12-","650 CFM Inline Duct Booster 12""","irrigation","irrigation","EcoPlus",""
"sku:2092","2092","co2-tubing-rain-system","co2 tubing rain system","irrigation","irrigation","titan",""
"sku:1912","1912","submersible-pump-245gph","Submersible Pump 245gph","irrigation","irrigation","maxi Jet",""
"sku:2080","2080","single-outlet-air-pump","single outlet air pump","irrigation","irrigation","Unknown",""
"sku:2088","2088","16-standing-fan-eco-plus","16"" Standing fan eco plus","irrigation","irrigation","EcoPlus",""
"sku:2101","2101","replacement-monster-ebb-grow-pump","Replacement monster ebb & grow pump","irrigation","irrigation","cap",""
"sku:2106","2106","ebb-pump-replacement","ebb pump replacement","irrigation","irrigation","CAP",""
"sku:2149","2149","black-mesh-pump-filter-replacement-for-waterpower-85-120","Black mesh pump filter replacement for waterpower 85/120","irrigation","irrigation","General Hydroponics",""
"sku:1548","1548","cloner-spinner-aeroponic-sprayer-360-degrees","Cloner Spinner Aeroponic Sprayer 360 Degrees","irrigation","irrigation","FHD",""
"sku:1550","1550","extension-fitting-hex-shape-threaded-","Extension Fitting Hex Shape (Threaded)","irrigation","irrigation","Botanicare",""
"sku:2250","2250","6-inch-air-disc-stone-round","6 inch air disc stone round","irrigation","irrigation","EcoPlus",""
"sku:2302","2302","12-inch-air-stone-airstone","12 inch air stone airstone","irrigation","irrigation","FHD",""
"sku:2388","2388","100-feet-of-1-8-inch-drip-line","100 feet of 1/8 inch drip line","irrigation","irrigation","General Hydroponics",""
"sku:2321","2321","bucket-lid-with-8-inch-basket-for-dwc-or-top-feed-drip","bucket lid with 8 inch basket for DWC or top feed drip","irrigation","irrigation","FHD",""
"sku:2220","2220","regulator-emitter-and-dispersement-line-tubing-included","Regulator, emitter, and dispersement line tubing included","irrigation","irrigation","UNO",""
"sku:2247","2247","6-inline-fan-supreme-eco-plus","6"" inline fan supreme eco plus","irrigation","irrigation","EcoPlus",""
"sku:2610","2610","reducer-fitting-1-2-to-3-8-","Reducer Fitting 1/2"" to 3/8""","irrigation","irrigation","Hydro Flow",""
"sku:2611","2611","reducer-fitting","Reducer Fitting","irrigation","irrigation","Hydro Flow",""
"sku:2749","2749","pump-dispenser-1-oz-for-gallon-jug","Pump Dispenser 1 oz For Gallon Jug","irrigation","irrigation","Unknown",""
"sku:2851","2851","rebuild-kit-g-h-dual-diaprhm-pump","Rebuild kit G.H. dual diaprhm pump","irrigation","irrigation","Unknown",""
"sku:2859","2859","hydro-flow-ez-pull-end-cap-3-8-","Hydro Flow EZ Pull End Cap 3/8""","irrigation","irrigation","Hydro Flow",""
"sku:2861","2861","ecoplus-commercial-air-7-3566-gph","EcoPlus Commercial Air 7 3566 GPH","irrigation","irrigation","EcoPlus",""
"sku:2881","2881","h2o-inline-garden-hose-filter-with-catalytic-carbon","H2O™ Inline Garden Hose Filter with Catalytic Carbon","irrigation","irrigation","ideal",""
"sku:2895","2895","tru-hole1-1-8-1-1-4-fitting","Tru Hole1 1/8-1 1/4"" Fitting","irrigation","irrigation","FHD",""
"sku:2901","2901","pump-dispenser-1-oz-for-2-5-gallon-jugs","Pump Dispenser 1 oz For 2.5 Gallon Jugs","irrigation","irrigation","Unknown",""
"sku:2984","2984","hydro-flow-ez-pull-end-cap-1-2-in-end-cap","Hydro Flow EZ Pull End Cap 1/2 in End CAP","irrigation","irrigation","Hydro Flow",""
"sku:2828","2828","poly-tubing-black-1-4-in-50-ft-roll","Poly Tubing Black 1/4 in 50 ft Roll","irrigation","irrigation","Hydro Logic",""
"sku:2829","2829","poly-tubing-black-3-8-in-50-ft-roll","Poly Tubing Black 3/8 in 50 ft Roll","irrigation","irrigation","Hydro Logic",""
"sku:3068","3068","360-trigger-sprayer","360 Trigger Sprayer","irrigation","irrigation","Unknown",""
"sku:3074","3074","3-4-to-1-2-compresion-coupler","3/4"" to 1/2/'compresion coupler","irrigation","irrigation","Unknown",""
"sku:415","415","maxi-jet-water-pump-295-gph","Maxi-Jet Water Pump 295 gph","irrigation","irrigation","Unknown",""
"sku:807","807","watering-wand-w-thumb-slide-flow-control","Watering Wand w/ Thumb Slide Flow Control","irrigation","irrigation","Unknown",""
"sku:1175","1175","high-flow-dual-hose-outlet","high flow Dual hose outlet","irrigation","irrigation","Unknown",""
"sku:1176","1176","quick-connect-with-adapter-set","Quick Connect with Adapter Set","irrigation","irrigation","Unknown",""
"sku:1182","1182","lg-air-stone","lg air stone","irrigation","irrigation","Unknown",""
"sku:1232","1232","premium-watering-can-3-2-gl","Premium Watering Can 3.2 GL","irrigation","irrigation","Unknown",""
"sku:1362","1362","supreme-air-3-pump-1030-gph","Supreme Air-3 pump 1030 GPH","irrigation","irrigation","Unknown",""
"sku:1363","1363","bubket-air-pump-medium-stone","Bubket/Air pump/medium/stone","irrigation","irrigation","Unknown",""
"sku:1390","1390","1-4-straight-connector-5pk","1/4"" Straight Connector-5pk","irrigation","irrigation","Unknown",""
"sku:1408","1408","1-4-inline-valve-","1/4"" inline valve.","irrigation","irrigation","Unknown",""
"sku:1463","1463","supreme-air-pump-1-outlet-3w-29gph","Supreme Air Pump 1 Outlet 3w. 29gph","irrigation","irrigation","Unknown",""
"sku:2047","2047","hydroflo-1-id-1-1-4-odbk-hose","hydroflo  1""ID/1 1/4"" ODbk hose","irrigation","irrigation","Unknown",""
"sku:2135","2135","floraflex-tubing-1-4-in-od-100-ft-","FloraFlex® Tubing 1/4 in OD 100 ft.","irrigation","irrigation","FloraFlex",""
"sku:2157","2157","irrigation-octa-bubbler-2gph-ea","Irrigation Octa-Bubbler 2gph ea","irrigation","irrigation","Unknown",""
"sku:2190","2190","eco-633-submersible-pump-594gph","Eco 633 Submersible/Pump 594GPH","irrigation","irrigation","Unknown",""
"sku:2474","2474","floraflex-air-bleed-valve-3-4-in","FloraFlex Air Bleed Valve 3/4 in","irrigation","irrigation","FloraFlex",""
"sku:2548","2548","floraflex-8-in-floracap-2-0","FloraFlex 8 in FloraCap 2.0","irrigation","irrigation","FloraFlex",""
"sku:2549","2549","floraflex-floraclip-2-0-1-12-pk","FloraFlex FloraClip 2.0 (1=12/pk","irrigation","irrigation","FloraFlex",""
"sku:2470","2470","irrigation-riser-assembly-w-tee","Irrigation Riser Assembly/W-Tee","irrigation","irrigation","Unknown",""
"sku:1707","1707","aeroflo-drain-valve","AeroFlo drain valve","irrigation","irrigation","AeroFlo",""
"sku:1774","1774","rainmaker-trigger-sprayer-qt-","Rainmaker® Trigger Sprayer qt.","irrigation","irrigation","Unknown",""
"sku:2997","2997","1-2-hydrologic-hose-50-ft-","1/2"" hydrologic hose 50 ft.","irrigation","irrigation","Hydro-Logic",""
"sku:3166","3166","bottom-draw-water-pump-730-gph","Bottom Draw Water Pump 730 GPH","irrigation","irrigation","Unknown",""
"sku:3169","3169","floraflex-6-in-potpro-pot","FloraFlex 6 in PotPro Pot","irrigation","irrigation","FloraFlex",""
"sku:3241","3241","rainmaker-4-way-hose","Rainmaker 4 way hose","irrigation","irrigation","Unknown",""
"sku:3342","3342","floraflex-6-in-8-in-stacker","FloraFlex 6 in - 8 in Stacker","irrigation","irrigation","FloraFlex",""
"sku:3369","3369","jacto-8c-backpack-sprayer-2gal","Jacto-8C Backpack Sprayer -2Gal","irrigation","irrigation","Unknown",""
"sku:3459","3459","f-f-air-bleed-valve-3-4-cs-6","F.F.  Air Bleed Valve 3/4 ""cs/6","irrigation","irrigation","Unknown",""
"sku:3419","3419","floraflex-4-in-6-in-stacker","FloraFlex 4 in - 6 in Stacker","irrigation","irrigation","FloraFlex",""
"sku:3422","3422","1-4-tubing-barbed-tee-100-pk-","1/4"" TUBING BARBED tee (100/pk)","irrigation","irrigation","Unknown",""
"sku:3423","3423","ecoplus-eco-100-pump","EcoPlus Eco 100 pump","irrigation","irrigation","EcoPlus",""
"sku:3514","3514","blackvinyl-tubing-i-d-1-2-50-","BlackVinyl Tubing I.D.1/2'' 50`","irrigation","irrigation","Unknown",""
"sku:3446","3446","airstone-med-round","Airstone med. round","irrigation","irrigation","Unknown",""
"sku:3481","3481","floraflex-pot-pro-5-g","FloraFlex Pot Pro | 5 G","irrigation","irrigation","FloraFlex",""
"sku:3485","3485","aquavita-925-sump-pump","AquaVita 925 Sump Pump","irrigation","irrigation","Unknown",""
"sku:3486","3486","aquavita-1-5l-min-air-pump","AquaVita 1.5L/Min Air Pump","irrigation","irrigation","Unknown",""
"handle:ultra-premium-connoisseur-part-b-1-lt","","ultra-premium-connoisseur-part-b-1-lt","Ultra-premium Connoisseur Part-B (1 lt)","nutrients","nutrients","Advanced Nutrients",""
"handle:verde-growth-catalyst-1-qt","","verde-growth-catalyst-1-qt","Verde Growth Catalyst 1 qt","nutrients","nutrients","Verde",""
"handle:vitamino-amino-acid-supplement-gallon","","vitamino-amino-acid-supplement-gallon","Vitamino Amino Acid Supplement Gallon","nutrients","nutrients","Vitamino",""
"handle:ultra-premium-connoisseur-part-a-1-gal","","ultra-premium-connoisseur-part-a-1-gal","Ultra-premium Connoisseur Part-A (1 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:ultra-premium-connoisseur-part-a-1-lt","","ultra-premium-connoisseur-part-a-1-lt","Ultra-premium Connoisseur Part-A (1 lt)","nutrients","nutrients","Advanced Nutrients",""
"handle:ultra-premium-connoisseur-part-b-1-gal","","ultra-premium-connoisseur-part-b-1-gal","Ultra-premium Connoisseur Part-B (1 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:vitamino-amino-acid-supplement-quart","","vitamino-amino-acid-supplement-quart","Vitamino Amino Acid Supplement Quart","nutrients","nutrients","Vitamino",""
"handle:voodoo-juice-root-booster-1-gal","","voodoo-juice-root-booster-1-gal","VooDoo Juice Root Booster (1 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:voodoo-juice-root-booster-1-lt","","voodoo-juice-root-booster-1-lt","VooDoo Juice Root Booster (1 lt)","nutrients","nutrients","Advanced Nutrients",""
"handle:verde-growth-catalyst-1-gal","","verde-growth-catalyst-1-gal","Verde Growth Catalyst 1 gal","nutrients","nutrients","Verde",""
"handle:voodoo-juice-root-booster-500-ml","","voodoo-juice-root-booster-500-ml","VooDoo Juice Root Booster (500 ml)","nutrients","nutrients","Advanced Nutrients",""
"handle:winter-frost-2-5-gallon","","winter-frost-2-5-gallon","Winter Frost 2.5 Gallon","nutrients","nutrients","Unknown",""
"handle:tiger-bloom-liquid-plant-food-1-gal","","tiger-bloom-liquid-plant-food-1-gal","Tiger Bloom Liquid Plant Food (1 gal)","nutrients","nutrients","Fox Farm",""
"handle:tiger-bloom-liquid-plant-food-1-qt","","tiger-bloom-liquid-plant-food-1-qt","Tiger Bloom Liquid Plant Food (1 qt)","nutrients","nutrients","Fox Farm",""
"handle:terpinator-0-0-4-qt","","terpinator-0-0-4-qt","Terpinator 0 - 0 - 4 Qt.","nutrients","nutrients","Terpinator",""
"handle:spray-n-grow-16oz","","spray-n-grow-16oz","Spray N Grow 16oz.","nutrients","nutrients","Spray N Grow",""
"handle:summer-2-5-gallon","","summer-2-5-gallon","Summer 2.5 Gallon","nutrients","nutrients","Unknown",""
"handle:suck-it-up-4-liter","","suck-it-up-4-liter","Suck it Up 4 liter","nutrients","nutrients","Suck It Up",""
"handle:spray-n-grow-micronutrients-8-oz","","spray-n-grow-micronutrients-8-oz","Spray-N-Grow Micronutrients 8 oz","nutrients","nutrients","Unknown",""
"handle:small-5-gallon-replacement-bag","","small-5-gallon-replacement-bag","Small 5 Gallon Replacement Bag","nutrients","nutrients","Unknown",""
"handle:suck-it-up-500ml","","suck-it-up-500ml","Suck it Up 500ml","nutrients","nutrients","Suck It Up",""
"handle:silicium-bloom","","silicium-bloom","SiLICIUM Bloom, liter","nutrients","nutrients","Silicium",""
"handle:spring-2-5-gallon","","spring-2-5-gallon","Spring 2.5 Gallon","nutrients","nutrients","Unknown",""
"handle:silicium-mono-si-500-ml","","silicium-mono-si-500-ml","SiLICIUM mono si 500 ml","nutrients","nutrients","Silicium",""
"handle:sensizym-1-lt","","sensizym-1-lt","Sensizym (1 lt)","nutrients","nutrients","Advanced Nutrients",""
"handle:sensizym-2-5-gal","","sensizym-2-5-gal","Sensizym (2.5 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:suck-it-up-1-liter","","suck-it-up-1-liter","Suck it Up 1 liter","nutrients","nutrients","Suck It Up",""
"handle:spray-n-grow-32-oz","","spray-n-grow-32-oz","Spray N Grow 32 oz.","nutrients","nutrients","Spray N Grow",""
"handle:spigot-for-6-gal-container","","spigot-for-6-gal-container","Spigot for 6 Gal container","nutrients","nutrients","Unknown",""
"handle:sensi-bloom-part-b-2-5-gal","","sensi-bloom-part-b-2-5-gal","Sensi Bloom part B (2.5 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:silica-blast-gal","","silica-blast-gal","Silica Blast Gal.","nutrients","nutrients","Botanicare",""
"handle:sensi-grow-part-b-2-5-gal","","sensi-grow-part-b-2-5-gal","Sensi Grow part B (2.5 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:sensi-bloom-part-b-1-lt","","sensi-bloom-part-b-1-lt","Sensi Bloom part B (1 lt)","nutrients","nutrients","Advanced Nutrients",""
"handle:sensi-grow-part-b-1-gal","","sensi-grow-part-b-1-gal","Sensi Grow part B (1 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:sensizym-1-gal","","sensizym-1-gal","Sensizym (1 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:silicium-500-ml","","silicium-500-ml","SilICIUM 500 ml","nutrients","nutrients","Silicium",""
"handle:sledgehammer-1-qt","","sledgehammer-1-qt","SledgeHammer (1 qt)","nutrients","nutrients","Fox Farm",""
"handle:silicium-bloom-500-ml","","silicium-bloom-500-ml","Silicium Bloom 500 ML","nutrients","nutrients","Silicium",""
"handle:sensi-bloom-part-a-2-5-gal","","sensi-bloom-part-a-2-5-gal","Sensi Bloom part A (2.5 gal)","nutrients","nutrients","Advanced Nutrients",""
"handle:silica-blast-qt","","silica-blast-qt","Silica Blast Qt.","nutrients","nutrients","Botanicare",""
