Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Status
the-root-pouch-30-gallon-w-handle,The Root Pouch 30 Gallon w/ Handle,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01136,0,shopify,0,deny,manual,15.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_74bd6d74-7595-4797-a15e-d52c24d1a23a.jpg?v=1761679110,1,The Root Pouch 30 Gallon w/ Handle,The Root Pouch 30 Gallon w/ Handle | H Moon Hydro,Shop The Root Pouch 30 Gallon w/ Handle by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-2-gallon,The Root Pouch 2 Gallon,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01128,0,shopify,0,deny,manual,1.41,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_52eaa3c1-4a4e-4be1-aa21-0a599e523190.jpg?v=1761679104,1,The Root Pouch 2 Gallon,The Root Pouch 2 Gallon | H Moon Hydro,Shop The Root Pouch 2 Gallon by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-3-gallon,The Root Pouch 3 Gallon,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01129,0,shopify,0,deny,manual,1.94,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_624d92cc-b1bd-48ad-9503-5cf6a572dbdb.jpg?v=1761679103,1,The Root Pouch 3 Gallon,The Root Pouch 3 Gallon | H Moon Hydro,Shop The Root Pouch 3 Gallon by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-15-gallon-w-handle,The Root Pouch 15 gallon w/ Handle,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01133,0,shopify,0,deny,manual,8.79,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_d43b5ef4-7f6e-4723-b5bc-ef9fe2ee841b.jpg?v=1761679103,1,The Root Pouch 15 gallon w/ Handle,The Root Pouch 15 gallon w/ Handle | H Moon Hydro,Shop The Root Pouch 15 gallon w/ Handle by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-10-gallon,The Root Pouch 10 Gallon,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01132,0,shopify,0,deny,manual,4.69,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_77c71431-f6c8-477c-b33d-c857265c2f33.jpg?v=1761679103,1,The Root Pouch 10 Gallon,The Root Pouch 10 Gallon | H Moon Hydro,Shop The Root Pouch 10 Gallon by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-35-gallon-w-handle,The Root Pouch 35 Gallon w/ Handle,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01137,0,shopify,0,deny,manual,25.71,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_2e76a11f-bc15-45bd-b8bc-5eeb3e5051bf.jpg?v=1761679104,1,The Root Pouch 35 Gallon w/ Handle,The Root Pouch 35 Gallon w/ Handle | H Moon Hydro,Shop The Root Pouch 35 Gallon w/ Handle by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-45-gallon-w-handle,The Root Pouch 45 Gallon w/ Handle,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01138,0,shopify,0,deny,manual,28.26,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_cff8b448-440a-4fed-954d-f24b97c4ce83.jpg?v=1761679104,1,The Root Pouch 45 Gallon w/ Handle,The Root Pouch 45 Gallon w/ Handle | H Moon Hydro,Shop The Root Pouch 45 Gallon w/ Handle by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-100-gallon-w-handle,The Root Pouch 100 Gallon w/ Handle,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01140,0,shopify,0,deny,manual,36.33,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_23920bab-9bdd-40f0-984e-80ef9687eda3.jpg?v=1761679103,1,The Root Pouch 100 Gallon w/ Handle,The Root Pouch 100 Gallon w/ Handle | H Moon Hydro,Shop The Root Pouch 100 Gallon w/ Handle by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-7-gallon,The Root Pouch 7 Gallon,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01131,0,shopify,0,deny,manual,3.59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_ba15ddad-aab8-418d-94b0-9e4f4ffe3a73.jpg?v=1761679103,1,The Root Pouch 7 Gallon,The Root Pouch 7 Gallon | H Moon Hydro,Shop The Root Pouch 7 Gallon by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-20-gallon-w-handle,The Root Pouch 20 Gallon w/ Handle,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01134,0,shopify,0,deny,manual,13.01,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_e8fb63f3-fd3e-4ae3-8a63-d638e61b7081.jpg?v=1761679103,1,The Root Pouch 20 Gallon w/ Handle,The Root Pouch 20 Gallon w/ Handle | H Moon Hydro,Shop The Root Pouch 20 Gallon w/ Handle by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
