Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Status
,"18"" Max-Fan, 3490 CFM",,Max-Fan,,Airflow,"category:airflow, brand:Max-Fan",FALSE,Title,Default Title,,,,,hmh01325,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"18"" Max-Fan, 3490 CFM","18"" Max-Fan, 3490 CFM | H Moon Hydro","Shop 18"" Max-Fan, 3490 CFM by Max-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,38-Special by Can-Filters,,Can-filters,,Airflow,"category:airflow, brand:Can-filters",FALSE,Title,Default Title,,,,,hmh00662,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,38-Special by Can-Filters,38-Special by Can-Filters | H Moon Hydro,Shop 38-Special by Can-Filters by Can-filters at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"8"" Max-Fan, 675 CFM",,Max-Fan,,Airflow,"category:airflow, brand:Max-Fan",FALSE,Title,Default Title,,,,,hmh00806,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"8"" Max-Fan, 675 CFM","8"" Max-Fan, 675 CFM | H Moon Hydro","Shop 8"" Max-Fan, 675 CFM by Max-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,Big Boy Carbon filter,,Unknown,,Airflow,category:airflow,FALSE,Title,Default Title,,,,,hmh00960,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Big Boy Carbon filter,Big Boy Carbon filter | H Moon Hydro,Shop Big Boy Carbon filter by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,Can Filter W HO CFM Fan Combo freight shipping ONLY,,Can-filters,,Airflow,"category:airflow, brand:Can-filters",FALSE,Title,Default Title,,,,,,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Can Filter W HO CFM Fan Combo freight shipping ONLY,Can Filter W HO CFM Fan Combo freight shipping ONLY | H Moon Hydro,Shop Can Filter W HO CFM Fan Combo freight shipping ONLY by Can-filters at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"Can-Fan 10"" high output 781 CFM",,Can-Fan,,Airflow,"category:airflow, brand:Can-Fan",FALSE,Title,Default Title,,,,,hmh00796,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Fan 10"" high output 781 CFM","Can-Fan 10"" high output 781 CFM | H Moon Hydro","Shop Can-Fan 10"" high output 781 CFM by Can-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Can-Fan 12"" high output 971 CFM",,Can-Fan,,Airflow,"category:airflow, brand:Can-Fan",FALSE,Title,Default Title,,,,,hmh00797,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Fan 12"" high output 971 CFM","Can-Fan 12"" high output 971 CFM | H Moon Hydro","Shop Can-Fan 12"" high output 971 CFM by Can-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",,Can-Filter,,Airflow,"category:airflow, brand:Can-Filter",FALSE,Title,Default Title,,,,,hmh00700,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)","Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY) | H Moon Hydro","Shop Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY) by Can-Filter at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",,Can-Filter,,Airflow,"category:airflow, brand:Can-Filter",FALSE,Title,Default Title,,,,,hmh00699,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)","Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY) | H Moon Hydro","Shop Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY) by Can-Filter at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Can-Lite 14"" w/ Flange attached (2200 cfm)",,Can-lite,,Airflow,"category:airflow, brand:Can-lite",FALSE,Title,Default Title,,,,,hmh01240,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Lite 14"" w/ Flange attached (2200 cfm)","Can-Lite 14"" w/ Flange attached (2200 cfm) | H Moon Hydro","Shop Can-Lite 14"" w/ Flange attached (2200 cfm) by Can-lite at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,Can-Lite Filters,,Can-lite,,Airflow,"category:airflow, brand:Can-lite",FALSE,Title,Default Title,,,,,hmh00998,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Can-Lite Filters,Can-Lite Filters | H Moon Hydro,Shop Can-Lite Filters by Can-lite at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,Hurricane Inline Fan,,Hurricane,,Airflow,"category:airflow, brand:Hurricane",FALSE,Title,Default Title,,,,,,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Hurricane Inline Fan,Hurricane Inline Fan | H Moon Hydro,Shop Hurricane Inline Fan by Hurricane at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"Hurricane Inline Fan 6""",,Hurricane,,Airflow,"category:airflow, brand:Hurricane",FALSE,Title,Default Title,,,,,hmh01245,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Hurricane Inline Fan 6""","Hurricane Inline Fan 6"" | H Moon Hydro","Shop Hurricane Inline Fan 6"" by Hurricane at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Hurricane Inline Fan 8""",,Hurricane,,Airflow,"category:airflow, brand:Hurricane",FALSE,Title,Default Title,,,,,hmh01246,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Hurricane Inline Fan 8""","Hurricane Inline Fan 8"" | H Moon Hydro","Shop Hurricane Inline Fan 8"" by Hurricane at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,JetFan Blower 12 in. @1140 cfm,,JetFan,,Airflow,"category:airflow, brand:JetFan",FALSE,Title,Default Title,,,,,hmh00781,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,JetFan Blower 12 in. @1140 cfm,JetFan Blower 12 in. @1140 cfm | H Moon Hydro,Shop JetFan Blower 12 in. @1140 cfm by JetFan at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,PROfilter reversible carbon filters,,PROfilter,,Airflow,"category:airflow, brand:PROfilter",FALSE,Title,Default Title,,,,,,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,PROfilter reversible carbon filters,PROfilter reversible carbon filters | H Moon Hydro,Shop PROfilter reversible carbon filters by PROfilter at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,STEALTH RO 100/200 CARBON FILTER,,Stealth RO,,Airflow,"category:airflow, brand:Stealth RO",FALSE,Title,Default Title,,,,,hmh00957,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,STEALTH RO 100/200 CARBON FILTER,STEALTH RO 100/200 CARBON FILTER | H Moon Hydro,Shop STEALTH RO 100/200 CARBON FILTER by Stealth RO at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,Thermostatically Controlled Centrifugal Fans,,Unknown,,Airflow,category:airflow,FALSE,Title,Default Title,,,,,hmh00640,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Thermostatically Controlled Centrifugal Fans,Thermostatically Controlled Centrifugal Fans | H Moon Hydro,Shop Thermostatically Controlled Centrifugal Fans by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
"Yes,H Moon Hydro,,simple,208-400V","Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative", foldable fixture with a 5 000 lm output and built-in carry handles. It is lightweight,Easy To Transport,,Books,"category:books, brand:Easy To Transport",FALSE,Title,Default Title,,,,,HMH-BOK-EBA918,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative","Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative | H Moon Hydro","Shop Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative by Easy To Transport at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
1.5cu ft - Bag - Blend of Fine Coir,Coarse Peat," &amp; Super Coarse Perlite,H Moon Hydro,,simple,GROW LARGE,false,Title,Default Title,,,,,,,,,708.738078125,,0,deny,manual,35.99,38.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/B365BF015001.jpgbio-flower.jpg?v=1761678796,1,bio Flower,false,,,,oz,,,active",Unknown,,Books,category:books,FALSE,Title,Default Title,,,,,error:0},0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Coarse Peat,Coarse Peat | H Moon Hydro,Shop Coarse Peat by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
mechanical-timers,Mechanical Timers,,Unknown,,Controllers Timers,category:controllers_timers,FALSE,Title,Default Title,,,,,hmh00629,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Mechanical Timers,Mechanical Timers | H Moon Hydro,Shop Mechanical Timers by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
