Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
winter-frost-quart,Winter Frost Quart,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01475,141.747615625,,0,deny,manual,44.30,,true,true,,,,,,,,,false,,,,oz,,,active
vitamino-amino-acid-supplement-gallon,Vitamino Amino Acid Supplement Gallon,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01364,283.49523125,,0,deny,manual,75.65,,true,true,,,,,,,,,false,,,,oz,,,active
trimpro-rotor-exit-chute,TRIMPRO ROTOR Exit Chute,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00768,113.3980925,,0,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/trim-pro-rotor_6aa0ed98-1ac3-4d74-9eb5-85f0208ff86e.jpg?v=1761679121,1,"",false,,,,oz,,,active
vortex-6-in-450-cfm,"Vortex 6 in., 450 cfm","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00775,340.1942775,,0,deny,manual,215.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/vortex_powerfans_ee0a896c-4252-454d-9169-088c517cb63c.jpg?v=1761679122,1,"",false,,,,oz,,,active
white-rhino-feminised-afghan-x-brazilian-x-south-indian-photo-5-seed,White Rhino (Feminised) Afghan x Brazilian x South Indian Photo-5 Seed,"",H Moon Hydro,,simple,GREENHOUSE SEED,false,Title,Default Title,,,,,,,,,7.08738078125,,0,deny,manual,45.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/White-Rhino-photo.jpg?v=1761679122,1,"",false,,,,oz,,,active
white-rhino-feminised-afghan-x-brazilian-x-south-indian-photo-5-seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/OIP_594b01e9-5a79-440a-8037-23590dce3be6.webp?v=1761679121,2,"",,,,,,,,
uno-gen-1-elp-propane,UNO GEN-1 elp Propane,"",H Moon Hydro,Uncategorized,simple,"",false,Title,Default Title,,,,,,,,GEN-1eLP,708.738078125,shopify,100,deny,manual,175.00,399.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO-GEN-1elp-Propane.jpg?v=1761679122,1,UNO GEN-1elp Propane,false,,,,oz,,,active
uno-2-speed-8-in-line-blower-750-cfm,"UNO-2 Speed 8"" in line Blower 750 cfm","",H Moon Hydro,,simple,GROW LARGE,false,Title,Default Title,,,,,,,,hmh01586,0.0,,0,deny,manual,79.95,169.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Hurricane-Inline-Fan-4-in-171-CFM.jpg?v=1761679122,1,"",false,,,,lb,,,active
uno-2-speed-8-in-line-blower-750-cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/hurricane-inline-fan-4-171cfm.jpg?v=1761679122,2,"",,,,,,,,
uno-2-speed-6-in-line-blower-440-cfm,"UNO-2 Speed 6"" in line Blower 440  cfm","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01585,425.242846875,,0,deny,manual,49.95,129.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/in-line-uno-blowers.jpg?v=1761679122,1,"",false,,,,oz,,,active
